state,frequency_hz,eta_0,eta_m1,eta_total,max_pressure_pa
1,180041.681327,0.994745917973276,0.00525408202668687,0.999999999999963,1398630.68606688
2,180046.681327,0.229645204040721,0.770354795961421,1.00000000000214,16234555.5359701
3,180051.681327,0.993099098111053,0.00690090188888103,0.999999999999934,1479972.84755513
