case_name,N,K,theta_i_deg,frequency_Hz,lambda_m,target_order,eta_target,eta_zero,A_target_abs,A_zero_abs,theta_out,energy_error,condition_number,total_efficiency,target_is_propagating
route_plus,81,11,6,200216.874212,0.00749187602645181,-1,9.18430715497511e-05,0.99990815692845,0.0233273428388075,0.999954077409783,-80.3369640320002,1.11022302462516e-16,19535.145420455,1,1
route_plus,121,15,6,200216.874212,0.00749187602645181,-1,0.000403785133051436,0.999596214866948,0.0489122042224985,0.999798087049054,-80.3369640320002,9.99200722162641e-16,46801.8698065388,0.999999999999999,1
route_plus,201,25,6,200216.874212,0.00749187602645181,-1,0.00659293364332571,0.993407066356676,0.197642994237378,0.996698081846592,-80.3369640320002,1.33226762955019e-15,260961.379137368,1,1
route_plus,313,39,6,200216.874212,0.00749187602645181,-1,0.306061126315369,0.693938873684669,1.34662340495668,0.833029935647374,-80.3369640320002,3.73034936274053e-14,2592970.0916962,1.00000000000004,1
route_plus,401,50,6,200216.874212,0.00749187602645181,-1,0.0571527807592159,0.942847219240752,0.58191661208848,0.971003202487382,-80.3369640320002,3.1641356201817e-14,1407719.67362022,0.999999999999968,1
route_minus,81,11,-6,200216.874212,0.00749187602645181,1,9.18430715497669e-05,0.99990815692845,0.0233273428388095,0.999954077409783,80.3369640320002,5.55111512312578e-16,19535.1454204488,0.999999999999999,1
route_minus,121,15,-6,200216.874212,0.00749187602645181,1,0.000403785133051372,0.999596214866946,0.0489122042224946,0.999798087049053,80.3369640320002,2.55351295663786e-15,46801.8698065447,0.999999999999997,1
route_minus,201,25,-6,200216.874212,0.00749187602645181,1,0.00659293364332681,0.993407066356673,0.197642994237394,0.996698081846591,80.3369640320002,2.22044604925031e-16,260961.379135064,1,1
route_minus,313,39,-6,200216.874212,0.00749187602645181,1,0.306061126315479,0.69393887368462,1.34662340495692,0.833029935647345,80.3369640320002,9.88098491916389e-14,2592970.09168746,1.0000000000001,1
route_minus,401,50,-6,200216.874212,0.00749187602645181,1,0.0571527807589817,0.942847219240984,0.581916612087288,0.971003202487501,80.3369640320002,3.47499806707674e-14,1407719.67363337,0.999999999999965,1
off_rayleigh,81,11,32.6328,202430,0.00740996887813071,-1,0.977911202129717,0.022088797870279,0.988861605512892,0.14862300585804,-32.6269498618028,3.44169137633799e-15,1454.92714847569,0.999999999999997,1
off_rayleigh,121,15,32.6328,202430,0.00740996887813071,-1,0.992975476696148,0.00702452330385723,0.996448977446207,0.0838124292921833,-32.6269498618028,4.88498130835069e-15,2077.39172803533,1,1
off_rayleigh,161,20,32.6328,202430,0.00740996887813071,-1,0.998635815866437,0.00136418413356763,0.999285011295809,0.0369348633890479,-32.6269498618028,4.21884749357559e-15,2832.12142046302,1,1
off_rayleigh,201,25,32.6328,202430,0.00740996887813071,-1,0.999628861447853,0.000371138552143092,0.999781733412476,0.0192649565829537,-32.6269498618028,3.88578058618805e-15,3577.84831894906,0.999999999999996,1
off_rayleigh,313,39,32.6328,202430,0.00740996887813071,-1,0.999915130665714,8.48693342897752e-05,0.999924879663138,0.0092124553887536,-32.6269498618028,3.77475828372553e-15,5675.75368187467,1,1
off_rayleigh,401,50,32.6328,202430,0.00740996887813071,-1,0.99961850388214,0.000381496117851397,0.999776553824218,0.0195319256053108,-32.6269498618028,8.88178419700125e-15,7322.69543120155,0.999999999999991,1
