label,theta_deg,kappa,Omega,Q,sigma_ratio,raw_residual,A0_over_C,Am1_over_C,finite_open_orders,threshold_orders,groove_energy_before_normalization
below Rayleigh line,6.64584214799898,0.10294996910405,0.889555622374908+7.10125133290042e-08i,6263372.33167313,1.78741399464772e-15,1.23439533786837e-13,3.83916536524527e-06,2.60560248104129e-05,0,,0.252383357538804
Rayleigh BIC,7.09966291282576,0.110000105311808,0.889999894688192+0i,Inf,4.91077212087822e-16,9.87318692077646e-14,0,0,0,-1,0.226832283679188
above Rayleigh line,7.55363509084318,0.117050241519567,0.890425791667482+5.77951418723568e-07i,770329.272340942,1.48542867119565e-15,1.46913541402095e-13,3.9519338149242e-06,2.82529292909432e-05,,,0.250743198469671
