state,order,kx_over_k0,ky_real_over_k0,ky_imag_over_k0,amplitude_abs,amplitude_phase_rad,power_fraction,is_propagating
1,-3,-3.39378356077971,0,-3.24311067609766,0.101446944045948,1.88046714036252,0,0
1,-2,-2.26252237385314,0,-2.02953381154049,0.0665787871501338,1.0309664954217,0,0
1,-1,-1.13126118692657,0,-0.528915752314596,0.0969230975107782,-2.96012680311849,0,0
1,0,0,1,0,1,-1.3360695889101,1,1
1,1,1.13126118692657,0,-0.528915752314596,0.0969230975083511,1.6240572142084,0,0
1,2,2.26252237385314,0,-2.02953381154049,0.066578787149834,-2.3670360843318,0,0
1,3,3.39378356077971,0,-3.24311067609766,0.101446944045732,3.06664857790697,0,0
2,-3,-3.24718940448297,0,-3.0893751841734,0.15376341806326,1.85462773805542,0,0
2,-2,-2.12359439013176,0,-1.87340682549175,0.16903933029068,1.00509996070252,0,0
2,-1,-0.999999375780548,0.00111733545284518,0,0.0165222371122477,-2.98454070944163,3.07371780299083e-07,1
2,0,0.123595638570661,0.992332665050542,0,0.999999846314099,-1.38771860114224,0.999999692628221,1
2,1,1.24719065292187,0,-0.745308342054267,0.195517727998125,-1.54343860576784,0,0
2,2,2.37078566727308,0,-2.14956383486219,0.118749817329257,-2.39292335847794,0,0
2,3,3.49438068162429,0,-3.34823779742554,0.103749217712982,3.0407975467901,0,0
3,-3,-3.18690385824279,0,-3.02594715778098,2.20614752245691,-2.91573764138503,0,0
3,-2,-2.06641025640909,0,-1.8083283296439,6.07383876308763,2.55999701762601,0,0
3,-1,-0.945916654575394,0.324409744916664,0,1.02947305378511,2.10509448466708,0.349176353419791,1
3,0,0.174576947258307,0.984643534222396,0,0.80673641704104,-1.41155482936921,0.650823646580214,1
3,1,1.29507054909201,0,-0.822926319378275,15.5315271548951,0.0226006860369464,0,0
3,2,2.41556415092571,0,-2.198852011218,2.28034878277932,-0.82640511435313,0,0
3,3,3.53605775275941,0,-3.3917111361155,0.204075333238542,-1.91051229664459,0,0
