N,K,strict_sigma_ratio,full_sigma_ratio,threshold_amplitude_over_Cnorm,finite_open_amplitude_over_Cnorm
281,35,6.52801279886721e-05,5.62863595379837e-05,1.74956998056666e-05,2.96873798016727e-05
313,39,3.82660934576998e-05,3.29928307132962e-05,1.04801192463063e-05,1.74380688964721e-05
345,43,1.71173663647355e-05,1.47145490108526e-05,4.58224038088559e-06,7.91062768419176e-06
377,47,6.24864970485051e-16,4.93771837074446e-16,1.02555310479444e-15,1.81925576685974e-16
409,51,1.39933876070198e-05,1.21564412319739e-05,3.50994626814514e-06,6.18707268770765e-06
