mode,level_pct,sample_count,valid_count,geometry_invalid_count,solver_failure_count,strict_sigma_q05,strict_sigma_q50,strict_sigma_q95,strict_raw_q05,strict_raw_q50,strict_raw_q95,threshold_error_q05,threshold_error_q50,threshold_error_q95,finite_open_error_q50,strict_raw_above_1e_2
independent,1,100,100,0,0,0.000189837767877294,0.000771912246686185,0.0451051619023984,0.00249687698269873,0.0136142352453875,0.429266037955922,0.000140285134130236,0.0031542034845278,0.214151385594909,0.00137944711704232,60
independent,2,100,100,0,0,0.000305098805667657,0.0024733348730513,0.0863404930464354,0.0043959580540598,0.0359185101915793,0.610532285184377,0.000930147654279851,0.0078430321411766,0.432174590588735,0.00499018226668945,85
independent,5,100,100,0,0,0.000953419996688037,0.00478364058076108,0.184315334730756,0.015100801766709,0.0696491868618257,0.590825559297159,0.00411092072000379,0.0194408143099455,0.809236095001083,0.00827760315123582,97
joint,1,100,100,0,0,0.00465435424373819,0.0311681755138332,0.0554331575883294,0.0594608855735115,0.350970763908812,0.525949336790739,0.0095084346094817,0.161761796170408,0.27263769651927,0.0176836279782378,100
joint,2,100,100,0,0,0.0162102460479315,0.0715506151036686,0.104899001492387,0.183195788765093,0.580017430390401,0.84232398082202,0.0603946103297615,0.337676307256784,0.522375892164727,0.0384606355934859,100
joint,5,100,100,0,0,0.0254065597929983,0.136025270185811,0.20413294016224,0.301927173134707,0.575756928231979,1.44358833435575,0.0865747119701371,0.636550432595015,0.947601356667537,0.0770642598591997,100
