waist_mm,angular_fwhm_deg,minimum_angular_bandwidth_hz,matched_aperture_mm,minimum_period_count
25.0,7.213099879618098,1201.6532130267738,80.0,11.0
35.0,5.1522141997272115,879.6705769247465,112.0,16.0
50.0,3.606549939809049,617.6730142381396,160.0,22.0
75.0,2.4043666265393657,410.8793190249445,240.0,33.0
100.0,1.8032749699045245,307.67667327825353,320.0,44.0
150.0,1.2021833132696829,204.82771492567443,480.0,65.0
200.0,0.9016374849522623,153.537754289434,640.0,87.0
250.0,0.7213099879618096,122.79892914359685,800.0,108.0
300.0,0.6010916566348414,102.3182237855648,960.0,130.0
