theta_deg,intrinsic_linewidth_hz,angular_bandwidth_w25_hz,angular_bandwidth_w100_hz,angular_bandwidth_w200_hz
5.8,0.19760771284238518,1286.0897969318123,378.41780060008097,190.44979606336332
5.819999999999999,0.19223336496894572,1286.4005403069352,378.07430012919554,190.26299691876054
5.84,0.18685901709550604,1286.6943850863397,377.7260187642858,190.07395447257474
5.859999999999999,0.18156606418852508,1286.9713804370338,377.3730093177002,189.8826941013581
5.88,0.17650362490896085,1287.2315763174709,377.0153242233044,189.68924084295517
5.8999999999999995,0.17144118562939684,1287.475023465425,376.65301554665075,189.49361939037627
5.92,0.1663787463498326,1287.701773385909,376.28613499545594,189.29585408482592
5.9399999999999995,0.1613163070702686,1287.9118783391677,375.9147339303731,189.0959689078611
5.96,0.15625386779070435,1288.105391328741,375.5388633760417,188.89398747266978
5.9799999999999995,0.15121312620151808,1288.2823660895745,375.1585740324037,188.68993301448086
6.0,0.14650908687812203,1288.4428570762038,374.7739162862583,188.48382838013504
6.02,0.14180504755472617,1288.5869194510035,374.38494022304724,188.27569601687634
6.04,0.1371010082313301,1288.7146090724893,373.99169563883686,188.06555796044498
6.06,0.13239696890793423,1288.8259824836825,373.59423205249095,187.85343582258898
6.08,0.12769292958453818,1288.9210969005624,373.1925987179917,187.63935077814406
6.1,0.1229888902611423,1289.0000102005467,372.78684463689984,187.42332355186562
6.12,0.11863164549181794,1289.0627809110565,372.3770185709185,187.20537440523762
6.14,0.11433075913254485,1289.109468198146,371.96316905453864,186.98552312352297
6.16,0.11002987277327156,1289.1401318551752,371.5453444077316,186.76378900335698
6.18,0.10572898641399847,1289.1548322915794,371.12359274866617,186.54019084123348
6.2,0.10142810005472518,1289.1536305216666,370.6979620064118,186.31474692326637
6.22,0.09712721369545207,1289.1365881534998,370.2684999336053,186.0874750166506
6.24,0.09312072821511239,1289.1037673778458,369.835254119038,185.85839236328172
6.26,0.08926597949432359,1289.0552309571635,369.3982720001406,185.62751567602191
6.279999999999999,0.0854112307735348,1288.991042214685,368.9576008753222,185.39486113812472
6.3,0.08155648205274584,1288.9112650235447,368.51328791613844,185.1604444063494
6.32,0.07770173333195687,1288.8159637959664,368.0653801792449,184.92428061829943
6.34,0.07384698461116809,1288.705203472535,367.6139246181071,184.68638440452267
6.359999999999999,0.07021618490020401,1288.5790495115107,367.1589680944297,184.4467699058903
6.38,0.06684878981283507,1288.4375678782178,366.7005573892686,184.20545079674943
6.3999999999999995,0.06348139472546628,1288.2808250344972,366.238739213791,183.96244031430032
6.42,0.06011399963809733,1288.1088879282236,365.77356021965085,183.71775129459226
6.4399999999999995,0.056746604550728545,1287.9218239828763,365.3050670089408,183.4713962154658
6.46,0.0533792094633596,1287.7197010871953,364.8333061436914,183.2233872466764
6.4799999999999995,0.05014827286378044,1287.5025875848755,364.3583241548797,182.97373630733898
6.5,0.04730766910947262,1287.270552264347,363.88016755091786,182.7224551307165
6.52,0.04446706535516493,1287.0236643486137,363.3988828255906,182.46955533624427
6.54,0.04162646160085711,1286.7619934851432,362.91451646540486,182.21504850855183
6.56,0.03878585784654942,1286.485609735847,362.42711495633387,181.95894628308662
6.58,0.035945254092241606,1286.1945835670956,361.93672478991675,181.70126043780166
6.6,0.03313759970806579,1285.8889858398204,361.4433924686942,181.44200299020224
6.62,0.03086147847621378,1285.5688877996788,360.94716451095326,181.18118629890455
6.64,0.028585357244361873,1285.2343610672667,360.44808745476024,180.91882316869516
6.66,0.026309236012509868,1284.885477628412,359.94620786125887,180.6549269579505
6.68,0.02403311478065796,1284.5223098245363,359.44157231721766,180.38951168713692
6.7,0.021756993548805954,1284.144930343057,358.9342274368085,180.12259214700416
