system,state,frequency_hz,kx_over_k0,normalized_power_db
ideal_infinite,1,178780.3005,-1.05625,-60.0
ideal_infinite,1,178780.3005,-1.0541666666666667,-60.0
ideal_infinite,1,178780.3005,-1.0520833333333333,-60.0
ideal_infinite,1,178780.3005,-1.05,-60.0
ideal_infinite,1,178780.3005,-1.0479166666666666,-60.0
ideal_infinite,1,178780.3005,-1.0458333333333334,-60.0
ideal_infinite,1,178780.3005,-1.04375,-60.0
ideal_infinite,1,178780.3005,-1.0416666666666667,-60.0
ideal_infinite,1,178780.3005,-1.0395833333333333,-60.0
ideal_infinite,1,178780.3005,-1.0375,-60.0
ideal_infinite,1,178780.3005,-1.0354166666666667,-60.0
ideal_infinite,1,178780.3005,-1.0333333333333332,-60.0
ideal_infinite,1,178780.3005,-1.03125,-60.0
ideal_infinite,1,178780.3005,-1.0291666666666668,-60.0
ideal_infinite,1,178780.3005,-1.0270833333333333,-60.0
ideal_infinite,1,178780.3005,-1.025,-60.0
ideal_infinite,1,178780.3005,-1.0229166666666667,-60.0
ideal_infinite,1,178780.3005,-1.0208333333333333,-60.0
ideal_infinite,1,178780.3005,-1.01875,-60.0
ideal_infinite,1,178780.3005,-1.0166666666666666,-60.0
ideal_infinite,1,178780.3005,-1.0145833333333334,-60.0
ideal_infinite,1,178780.3005,-1.0125,-60.0
ideal_infinite,1,178780.3005,-1.0104166666666667,-60.0
ideal_infinite,1,178780.3005,-1.0083333333333333,-60.0
ideal_infinite,1,178780.3005,-1.00625,-60.0
ideal_infinite,1,178780.3005,-1.0041666666666667,-60.0
ideal_infinite,1,178780.3005,-1.0020833333333332,-60.0
ideal_infinite,1,178780.3005,-1.0,-60.0
ideal_infinite,1,178780.3005,-0.9979166666666667,-60.0
ideal_infinite,1,178780.3005,-0.9958333333333333,-60.0
ideal_infinite,1,178780.3005,-0.99375,-60.0
ideal_infinite,1,178780.3005,-0.9916666666666667,-60.0
ideal_infinite,1,178780.3005,-0.9895833333333333,-60.0
ideal_infinite,1,178780.3005,-0.9875,-60.0
ideal_infinite,1,178780.3005,-0.9854166666666666,-60.0
ideal_infinite,1,178780.3005,-0.9833333333333334,-60.0
ideal_infinite,1,178780.3005,-0.98125,-60.0
ideal_infinite,1,178780.3005,-0.9791666666666667,-60.0
ideal_infinite,1,178780.3005,-0.9770833333333333,-60.0
ideal_infinite,1,178780.3005,-0.975,-60.0
ideal_infinite,1,178780.3005,-0.9729166666666667,-60.0
ideal_infinite,1,178780.3005,-0.9708333333333333,-60.0
ideal_infinite,1,178780.3005,-0.96875,-60.0
ideal_infinite,1,178780.3005,-0.9666666666666667,-60.0
ideal_infinite,1,178780.3005,-0.9645833333333333,-60.0
ideal_infinite,1,178780.3005,-0.9625,-60.0
ideal_infinite,1,178780.3005,-0.9604166666666667,-60.0
ideal_infinite,1,178780.3005,-0.9583333333333333,-60.0
ideal_infinite,1,178780.3005,-0.95625,-60.0
ideal_infinite,1,178780.3005,-0.9541666666666666,-60.0
ideal_infinite,1,178780.3005,-0.9520833333333334,-60.0
ideal_infinite,1,178780.3005,-0.95,-60.0
ideal_infinite,1,178780.3005,-0.9479166666666667,-60.0
ideal_infinite,1,178780.3005,-0.9458333333333333,-60.0
ideal_infinite,1,178780.3005,-0.94375,-60.0
ideal_infinite,1,178780.3005,-0.9416666666666667,-60.0
ideal_infinite,1,178780.3005,-0.9395833333333333,-60.0
ideal_infinite,1,178780.3005,-0.9375,-60.0
ideal_infinite,1,178780.3005,-0.9354166666666667,-60.0
ideal_infinite,1,178780.3005,-0.9333333333333333,-60.0
ideal_infinite,1,178780.3005,-0.93125,-60.0
ideal_infinite,1,178780.3005,-0.9291666666666667,-60.0
ideal_infinite,1,178780.3005,-0.9270833333333333,-60.0
ideal_infinite,1,178780.3005,-0.925,-60.0
ideal_infinite,1,178780.3005,-0.9229166666666666,-60.0
ideal_infinite,1,178780.3005,-0.9208333333333334,-60.0
ideal_infinite,1,178780.3005,-0.91875,-60.0
ideal_infinite,1,178780.3005,-0.9166666666666667,-60.0
ideal_infinite,1,178780.3005,-0.9145833333333333,-60.0
ideal_infinite,1,178780.3005,-0.9125,-60.0
ideal_infinite,1,178780.3005,-0.9104166666666667,-60.0
ideal_infinite,1,178780.3005,-0.9083333333333333,-60.0
ideal_infinite,1,178780.3005,-0.90625,-60.0
ideal_infinite,1,178780.3005,-0.9041666666666667,-60.0
ideal_infinite,1,178780.3005,-0.9020833333333333,-60.0
ideal_infinite,1,178780.3005,-0.9,-60.0
ideal_infinite,1,178780.3005,-0.8979166666666667,-60.0
ideal_infinite,1,178780.3005,-0.8958333333333333,-60.0
ideal_infinite,1,178780.3005,-0.89375,-60.0
ideal_infinite,1,178780.3005,-0.8916666666666666,-60.0
ideal_infinite,1,178780.3005,-0.8895833333333334,-60.0
ideal_infinite,1,178780.3005,-0.8875,-60.0
ideal_infinite,1,178780.3005,-0.8854166666666667,-60.0
ideal_infinite,1,178780.3005,-0.8833333333333333,-60.0
ideal_infinite,1,178780.3005,-0.88125,-60.0
ideal_infinite,1,178780.3005,-0.8791666666666667,-60.0
ideal_infinite,1,178780.3005,-0.8770833333333333,-60.0
ideal_infinite,1,178780.3005,-0.875,-60.0
ideal_infinite,1,178780.3005,-0.8729166666666667,-60.0
ideal_infinite,1,178780.3005,-0.8708333333333333,-60.0
ideal_infinite,1,178780.3005,-0.86875,-60.0
ideal_infinite,1,178780.3005,-0.8666666666666667,-60.0
ideal_infinite,1,178780.3005,-0.8645833333333333,-60.0
ideal_infinite,1,178780.3005,-0.8625,-60.0
ideal_infinite,1,178780.3005,-0.8604166666666666,-60.0
ideal_infinite,1,178780.3005,-0.8583333333333334,-60.0
ideal_infinite,1,178780.3005,-0.85625,-60.0
ideal_infinite,1,178780.3005,-0.8541666666666667,-60.0
ideal_infinite,1,178780.3005,-0.8520833333333333,-60.0
ideal_infinite,1,178780.3005,-0.85,-60.0
ideal_infinite,1,178780.3005,-0.8479166666666667,-60.0
ideal_infinite,1,178780.3005,-0.8458333333333333,-60.0
ideal_infinite,1,178780.3005,-0.84375,-60.0
ideal_infinite,1,178780.3005,-0.8416666666666667,-60.0
ideal_infinite,1,178780.3005,-0.8395833333333333,-60.0
ideal_infinite,1,178780.3005,-0.8375,-60.0
ideal_infinite,1,178780.3005,-0.8354166666666667,-60.0
ideal_infinite,1,178780.3005,-0.8333333333333333,-60.0
ideal_infinite,1,178780.3005,-0.83125,-60.0
ideal_infinite,1,178780.3005,-0.8291666666666666,-60.0
ideal_infinite,1,178780.3005,-0.8270833333333334,-60.0
ideal_infinite,1,178780.3005,-0.825,-60.0
ideal_infinite,1,178780.3005,-0.8229166666666667,-60.0
ideal_infinite,1,178780.3005,-0.8208333333333333,-60.0
ideal_infinite,1,178780.3005,-0.8187500000000001,-60.0
ideal_infinite,1,178780.3005,-0.8166666666666667,-60.0
ideal_infinite,1,178780.3005,-0.8145833333333333,-60.0
ideal_infinite,1,178780.3005,-0.8125,-60.0
ideal_infinite,1,178780.3005,-0.8104166666666667,-60.0
ideal_infinite,1,178780.3005,-0.8083333333333333,-60.0
ideal_infinite,1,178780.3005,-0.80625,-60.0
ideal_infinite,1,178780.3005,-0.8041666666666667,-60.0
ideal_infinite,1,178780.3005,-0.8020833333333333,-60.0
ideal_infinite,1,178780.3005,-0.8,-60.0
ideal_infinite,1,178780.3005,-0.7979166666666666,-60.0
ideal_infinite,1,178780.3005,-0.7958333333333334,-60.0
ideal_infinite,1,178780.3005,-0.79375,-60.0
ideal_infinite,1,178780.3005,-0.7916666666666667,-60.0
ideal_infinite,1,178780.3005,-0.7895833333333333,-60.0
ideal_infinite,1,178780.3005,-0.7875000000000001,-60.0
ideal_infinite,1,178780.3005,-0.7854166666666667,-60.0
ideal_infinite,1,178780.3005,-0.7833333333333333,-60.0
ideal_infinite,1,178780.3005,-0.78125,-60.0
ideal_infinite,1,178780.3005,-0.7791666666666667,-60.0
ideal_infinite,1,178780.3005,-0.7770833333333333,-60.0
ideal_infinite,1,178780.3005,-0.775,-60.0
ideal_infinite,1,178780.3005,-0.7729166666666667,-60.0
ideal_infinite,1,178780.3005,-0.7708333333333333,-60.0
