kappa,theta_deg,pole_frequency_hz,rayleigh_frequency_hz,linewidth_hz,normalized_detuning,frequency_hz,A0_real,A0_imag,Am1_real,Am1_imag,eta0,etam1,condition_number,energy_error
0.110000105311808,7.09966291282572,180000,180000,0,-32,180000,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000205311808,7.09966935084983,180000.001247205,179999.982137195,8.67855406862368e-12,-32,180000.001247205,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000226464574,7.09967071267001,180000.001511023,179999.978358718,8.32109403094942e-12,-32,180000.001511023,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000252091735,7.09967236255282,180000.001830646,179999.973780989,1.22249635811118e-11,-32,180000.001830646,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000283139749,7.09967436143145,180000.002217878,179999.968234944,1.86988581619379e-11,-32,180000.002217878,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000320755278,7.09967678312829,180000.002687021,179999.961515757,2.80829263234528e-11,-32,180000.00268702,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.11000036632753,7.09967971708089,180000.003255399,179999.953375277,3.99610124198619e-11,-32,180000.003255399,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000421539575,7.0996832716457,180000.003944006,179999.943512862,5.86957933963209e-11,-32,180000.003944005,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000488430493,7.09968757809918,180000.004778271,179999.931564275,8.27067934214729e-11,-32,180000.00477827,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000569470692,7.09969279548681,180000.005789007,179999.917088233,1.24748518204222e-10,-32,180000.005789004,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000667653134,7.09969911649624,180000.007013539,179999.899550111,1.80200714975345e-10,-32,180000.007013536,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000786603878,7.09970677457401,180000.008497094,179999.878302197,2.72707179920749e-10,-32,180000.008497089,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110000930715994,7.09971605254708,180000.01029446,179999.852559767,3.99846152833405e-10,-32,180000.010294454,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110001105311808,7.09972729306811,180000.012472017,179999.821372113,5.92813291733779e-10,-32,180000.012472007,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110001316839467,7.09974091127046,180000.015110184,179999.783587422,8.73968661587262e-10,-32,180000.01511017,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110001573111076,7.0997574100994,180000.018306392,179999.737810245,1.29410142430647e-09,-32,180000.018306371,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110001883591219,7.09977739888731,180000.02217868,179999.682349963,1.92246246071241e-09,-32,180000.022178649,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110002259746499,7.09980161585706,180000.026870054,179999.615158345,2.85066158837142e-09,-32,180000.026870009,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110002715469024,7.09983095538624,180000.032553771,179999.533753911,4.23361082303237e-09,-32,180000.032553703,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110003267589469,7.09986650103825,180000.03943973,179999.435130292,6.29674755314602e-09,-32,180000.039439629,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110003936498658,7.09990956557996,180000.04778223,179999.315645201,9.37787500744206e-09,-32,180000.04778208,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110004746900642,7.09996173946516,180000.057889356,179999.170885931,1.39764241906219e-08,-32,180000.057889132,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.11000572872506,7.10002494957274,180000.070134354,179998.995506398,2.08581424141261e-08,-32,180000.07013402,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110006918232499,7.10010153037029,180000.084969414,179998.783029723,3.11820698108105e-08,-32,180000.084968915,NaN,0,NaN,0,NaN,NaN,NaN,NaN
