kappa,delta_kappa,Omega_real,Omega_imag,q_real,q_imag,A0_over_C,Am1_over_C,sigma_ratio,A0_real,A0_imag,Am1_real,Am1_imag
0.0850001053118085,-0.025,0.888328950510989,8.21502751110577e-07,3.32756216842769e-06,0.21930910372165,0.00165087992464835,0.0111599682630266,9.71487521549184e-16,-0.00031408862623135,-0.00162072602881518,-0.00251486798753149,-0.0108729173011225
0.0917819507031798,-0.0182181546086287,0.88880961884055,4.51076531146919e-07,2.14677430297044e-06,0.186755151280628,0.00122958929341851,0.00824075126452726,3.6115349655644e-17,-0.000202832108703888,-0.00121274439440805,-0.00163347796904254,-0.00807723536418621
0.0967240590180526,-0.0132760462937559,0.889146454320859,2.45103037608151e-07,1.3694261662892e-06,0.159141472682022,0.000909285015310106,0.00609298389750693,4.35473781163296e-16,-0.000133091655843799,-0.000899491995635456,-0.00108636052158359,-0.00599535433418438
0.10032550275297,-0.00967460255883829,0.889385141655376,1.32248854977959e-07,8.66912555764153e-07,0.135677082811028,0.000667852232131929,0.00449725614279594,5.65884267560475e-16,-8.86625148112803e-05,-0.000661940754471984,-0.000736265846333909,-0.00443657812029024
0.10294996910405,-0.00705013620775802,0.889555622374908,7.10125133290042e-08,5.45914914392986e-07,0.115713234471764,0.000489290630927568,0.00332076574100059,3.28505939082314e-16,-6.00919302200537e-05,-0.000485586533416986,-0.000508290060600626,-0.00328163470253742
0.104862486454015,-0.00513761885779307,0.889678075721686,3.79962561543781e-08,3.42454642243259e-07,0.0987121559766818,0.000357855270244571,0.00245147966515116,5.20850196071373e-11,-4.13523534474921e-05,-0.000355457982476366,-0.000356177159877064,-0.00242546704356739
0.106256187924949,-0.00374391738685921,0.889766387657414,2.02870288993824e-08,2.14316533927414e-07,0.0842245630298338,0.000261417578709323,0.00180861297546104,1.55151237327163e-11,-2.88239970643619e-05,-0.000259823647213795,-0.000252517824933143,-0.00179089799907674
0.107271814679979,-0.00272829063182937,0.889830261977241,1.08132037981954e-08,1.3387399509388e-07,0.0718729276870695,0.000190812894042883,0.00133318337423536,4.58292320071212e-12,-2.03020685551158e-05,-0.000189729772427534,-0.000180624349820686,-0.00132089089390057
0.108011928489891,-0.00198817682191763,0.889876557387508,5.75661309069486e-09,8.35146101713909e-08,0.0613386691124644,0.000139198837899483,0.000981771564418355,1.3438167223098e-12,-1.44183752030415e-05,-0.000138450088223413,-0.000130052869550626,-0.000973119548576696
0.108551268802569,-0.00144883650923949,0.889910162182469,3.06204321506544e-09,5.20503048763767e-08,0.0523521116850432,0.000101506654029244,0.000722255160723999,3.91613077337233e-13,-1.03057226391148e-05,-0.000100982141456291,-9.40872447801058e-05,-0.0007161006267014
0.10894430021069,-0.00105580510111804,0.889934581559382,1.62778695629017e-09,3.24189664677957e-08,0.0446844567131077,7.40009934714094e-05,0.000530806505097915,1.13557401191856e-13,-7.40235405735947e-06,-7.36298321956873e-05,-6.82966254402169e-05,-0.000526394449826118
0.109230712489059,-0.00076939282274989,0.889952340101523,8.64798201788069e-10,2.01783876268447e-08,0.0381412627029223,5.39388781551887e-05,0.000389732920570858,1.20950206147347e-12,-5.33666685607101e-06,-5.36742262497338e-05,-4.968990024341e-05,-0.000386552277435395
0.109439428615823,-0.000560676695985069,0.889965261972576,4.5943400818061e-10,1.25588733440912e-08,0.0325570850383599,3.93109554255775e-05,0.0002858982095243,4.59311721583682e-13,-3.85812198693518e-06,-3.91211721604257e-05,-3.62077586900996e-05,-0.000283596164324978
0.109591525522492,-0.000408579789316444,0.889974668320015,2.4402891574739e-10,7.81473656924652e-09,0.0277910267900068,2.86477669410352e-05,0.000209556801038424,1.77019539544149e-13,-2.7949871212436e-06,-2.85110960452234e-05,-2.64093649292078e-05,-0.000207886022390861
