cavity,width_mm,depth_mm,Re_f_K62_Hz,Im_f_K62_Hz,Q_K62,Re_f_extrapolated_Hz,Im_f_extrapolated_Hz,Q_extrapolated,detuning_from_200k_percent
wide_q1,3.96477015917398,4.54141818210777,200807.163178324,2447.08890506454,41.0298054073003,200810.419155811,2448.94208586005,40.9994218146828,0.405209577905582
narrow_q0,1.0530480887349,1.08058029776923,213089.322338884,66107.1192718475,1.61169723235566,213108.813166896,66130.8407647711,1.61126647342145,6.55440658344817
