kappa,Omega_real,Omega_imag,theta_deg,frequency_hz,linewidth_hz,Q
0.000100000000000003,0.883968674375916,2.20379809441308e-11,0.00648165272097932,178780.202489136,8.91424053782232e-06,20055573072.1634
0.00202678759485372,0.883972643258065,9.03610596829322e-09,0.131368858286247,178781.005184497,0.00365505453202917,48913361.9260241
0.00395357518970745,0.883983786814632,3.42040482696011e-08,0.256253486690009,178783.258937778,0.0138353470045863,12922209.965425
0.00588036278456118,0.884002057848362,7.50210482865933e-08,0.38113311087666,178786.954203464,0.0303455961560935,5891693.58492115
0.0078071503794149,0.884027379524262,1.30674335969678e-07,0.506005347683901,178792.075441892,0.0528570410287133,3382559.29507608
0.00973393797426861,0.884059646475796,2.0006761778065e-07,0.630867878100545,178798.601342974,0.0809262369927216,2209402.14184252
0.0116607255691223,0.884098726293988,2.8185335833429e-07,0.755718466244675,178806.505127364,0.114008113490725,1568366.49298571
0.0135875131639761,0.884144461353125,3.7447138122248e-07,0.880554976726016,178815.7549157,0.151471587856,1180523.40671107
0.0155143007588298,0.884196670918443,4.76192031703961e-07,1.00537539011912,178826.314154879,0.192617024380082,928403.471761714
0.0174410883536835,0.884255153475331,5.85162037414979e-07,1.13017781634409,178838.142089132,0.236694784714773,755564.353919498
0.0193678759485372,0.884319689217094,6.99451218318457e-07,1.25496050582451,178851.194263168,0.2829241217864,632152.511895738
0.021294663543391,0.884390042628252,8.17098316398343e-07,1.37972185836441,178865.423044637,0.330511717651899,541177.251794204
0.0232214511382447,0.884465965103095,9.3615442212653e-07,1.50446042975363,178880.778153725,0.378669249262802,472393.199347378
0.0251482387330984,0.884547197543875,1.05472274261014e-06,1.62917493617119,178897.207188636,0.426629474459294,419326.881752294
0.0270750263279521,0.884633472889431,1.17099375876288e-06,1.75386425650692,178914.656136993,0.473660452850196,377727.663477909
0.0290018139228059,0.884724518532442,1.28327513126186e-06,1.878527432762,178933.069864725,0.519077642605925,344713.497900674
0.0309286015176596,0.884820058591515,1.39001601548439e-06,2.0031636687184,178952.392575587,0.562253735714987,318276.929450764
0.0328553891125133,0.884919816012408,1.48982571652009e-06,2.12777232708593,178972.568236133,0.602626203832458,296987.696681525
0.034782176707367,0.885023514480515,1.58148684626835e-06,2.2523529253447,178993.540962501,0.639702620252637,279807.421910843
0.0367089643022207,0.885130880133919,1.66396332793174e-06,2.37690513050138,179015.255366883,0.673063897682027,265970.669327824
0.0386357518970745,0.885241643072791,1.73640372826294e-06,2.50142875297152,179037.656862789,0.702365636114667,254906.629335093
0.0405625394919282,0.885355538666311,1.7981404861742e-06,2.62592373978801,179060.691929372,0.727337810808958,246186.420214037
0.0424893270867819,0.885472308662884,1.84868565277856e-06,2.75039016732031,179084.308335968,0.747783049158052,239486.985613813
0.0444161146816356,0.885591702112865,1.88772376912267e-06,2.87482823367059,179108.455328709,0.763573749772466,234566.019827267
0.0463429022764894,0.885713476115673,1.91510249028957e-06,2.99923825089338,179133.083781629,0.774648289981861,231244.406136653
0.0482696898713431,0.885837396404946,1.93082152649842e-06,3.12362063716489,179158.14631501,0.78100655257151,229393.909340608
0.0501964774661968,0.885963237786425,1.93502041873417e-06,3.24797590900909,179183.597383938,0.782704981092562,228928.653467645
0.0521232650610505,0.886090784443758,1.92796560500809e-06,3.37230467366831,179209.393340159,0.77985134823648,229799.427474756
0.0540500526559042,0.886219830127338,1.91003716835829e-06,3.49660762168942,179235.492470264,0.772599395475085,231990.205428583
0.055976840250758,0.886350178240878,1.88171559199996e-06,3.62088551978066,179261.8550132,0.761143475592563,235516.510042528
0.0579036278456117,0.886481641839742,1.84356878517357e-06,3.74513920398068,179288.443159937,0.745713304713374,240425.431632669
0.0598304154404654,0.886614043554096,1.79623958539572e-06,3.86936957316922,179315.221037918,0.726568907032297,246797.267681519
0.0617572030353191,0.886747215448958,1.74043389108045e-06,3.99357758293855,179342.154682763,0.703995814525883,254748.893363157
0.0636839906301729,0.886880998832085,1.67690953365885e-06,4.11776423983657,179369.211999406,0.678300565786791,264439.130743386
0.0656107782250266,0.88701524401951,1.60646595962664e-06,4.24193059598502,179396.362714682,0.64980653246954,276076.576258629
0.0675375658198803,0.887149810067447,1.52993476089469e-06,4.36607774407116,179423.578323103,0.618850088870013,289930.601207025
0.069464353414734,0.887284564478174,1.44817106606408e-06,4.49020681270637,179450.832027374,0.585777129744177,306346.599953031
0.0713911410095878,0.88741938288651,1.36204578418662e-06,4.61431896214231,179478.098674983,0.55093993295243,325767.089913375
0.0733179286044415,0.887554148732523,1.27243867716614e-06,4.73841538033278,179505.354692009,0.5146943572845,348761.069849433
0.0752447161992952,0.887688752925248,1.18023222492313e-06,4.86249727932773,179532.578015107,0.477397360952703,376065.292143275
0.0771715037941489,0.887823093501346,1.08630623940212e-06,4.98656589198559,179559.748022477,0.439404822987955,408643.097728126
0.0790982913890027,0.887957075281918,9.91533178020906e-07,5.11062246898954,179586.84546445,0.401069647556063,447769.724183247
0.0810250789838564,0.888090609529987,8.96774104313881e-07,5.2346682761541,179613.852394222,0.362740130060468,495158.482642327
0.0829518665787101,0.888223613610497,8.02875242176103e-07,5.35870459200952,179640.752099081,0.324758563353156,553151.702126887
0.0848786541735638,0.888356010654086,7.10665070763732e-07,5.48273270565324,179667.529032413,0.28746006263807,625017.358528255
0.0868054417684175,0.888487729225225,6.20951908359059e-07,5.60675391486028,179694.168746583,0.251171588157973,715423.946093637
0.0887322293632713,0.888618702994678,5.34521936078493e-07,5.73076952444822,179720.657826685,0.216211145795331,831227.53531315
0.090659016958125,0.88874887041542,4.52137615418137e-07,5.85478084489772,179746.983825006,0.182887146978321,982830.050087189
0.0925858045529787,0.888878174400172,3.74536457389828e-07,5.97878919123709,179773.135195803,0.15149791080321,1186637.71825422
0.0945125921478324,0.889006561997288,3.02430105903799e-07,6.10279588221179,179799.101229753,0.12233129326775,1469771.93183286
0.0964393797426862,0.889133984059534,2.36503703422653e-07,6.22680223977812,179824.871986965,0.0956644306817409,1879746.42932033
0.0983661673375399,0.889260394896605,1.77415476806906e-07,6.3508095889938,179850.438226701,0.0717635721438628,2506152.25599638
0.100292954932394,0.889385751895938,1.25796774445854e-07,6.47481925843401,179875.79133069,0.0508840945609028,3535010.16148372
0.102219742527247,0.889510015081674,8.22519584062127e-08,6.5988325813884,179900.923213925,0.0332704590224818,5407226.96649182
0.104146530122101,0.889633146553668,4.7358928552309e-08,6.72285089834111,179925.826211207,0.0191564228047514,9392454.32433134
0.106073317716955,0.889755109667231,2.16703369349381e-08,6.84687556192875,179950.492911251,0.00876553058392313,20529332.6157915
0.108000105311808,0.889875867545197,5.71549881134761e-09,6.97090794784669,179974.915855752,0.00231188743320695,77847611.986064
0.109000105311808,0.889938052466296,1.44175469294289e-09,7.0352840915343,179987.492582856,0.000583181742556589,308630190.982686
0.109264463057349,0.88995443462094,7.82206766393462e-10,7.05230286187428,179990.805828007,0.000316398280024856,568874160.168846
0.109458935785262,0.889966470658581,4.24132770825083e-10,7.06482271023001,179993.240083099,0.000171559343330623,1049160229.85832
0.109601998141255,0.889975316512595,2.29876322330517e-10,7.07403290674707,179995.029132437,9.29836919452438e-05,1935769868.53171
0.109707240855346,0.889981819348556,1.24550166214132e-10,7.08080835324129,179996.3443129,5.03798484749219e-05,3572784550.99956
0.109784661842805,0.889986600638179,6.74661237316049e-11,7.0857926780736,179997.31131541,2.72896712553959e-05,6595803578.24278
0.109841615992562,0.889990116614838,3.65379043388063e-11,7.0894593689927,179998.022411897,1.47793787847341e-05,12178997847.854
