state,kind,note,kappa,Omega,Omega_imag,f_kHz,theta_deg,N,K,sigma_ratio,raw_residual,threshold_error,finite_open_error,groove_max_pressure,exterior_max_norm,groove_energy_norm,exterior_energy_norm,exterior_to_groove_energy
strict BIC,strict BIC,strict operator; A_-1=A_0=0,0.0838486965529006,0.916151303447099,0,200,5.25121645643098,121,15,1.26036431743035e-15,1.37656676112385e-13,0,0,1.38560258529732,0.370258006819581,0.127521424462045,0.00946202824950093,0.0741995181548271
near-BIC,full homogeneous SVD,real-axis smallest-SVD-vector surrogate; not exact eigenstate,0.0838486965529006,0.915551303447099,0,199.86901726871,5.25466748129417,121,15,0.00252984689472337,0.0258516595267141,0.0202757772710386,0.00262157978082867,1.43589685502459,0.362494314087345,0.127667812410708,0.00939407234545405,0.0735821517426276
ordinary resonance,full homogeneous SVD,real-axis smallest-SVD-vector resonance surrogate,0.0838486965529006,0.8655,0,188.942589885203,5.55947232749684,121,15,0.00131041394758244,0.0151130289376871,0.885860014281451,0.0697306798420804,0.926420004525764,0.685431259997042,0.0535187171254424,0.0402685343465034,0.752419648851412
