kappa,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,distance_below_n0_line
0.039,0.0388361183937264,2.83488892642402e-20,6.84967196275923e+17,8.8714841848065e-16,2.94964321416544e-13,0.000163881606273626
0.03,0.0299256210005703,7.53950980425999e-21,1.98458664936423e+18,8.65036699281783e-16,4.93061745589904e-13,7.43789994297334e-05
0.02,0.0199780135772472,-4.39285177733314e-21,2.27392302198e+18,1.00482403946215e-15,8.70146534816947e-13,2.19864227527858e-05
0.01,0.00999725561704469,8.47339225033543e-23,5.8992050183024e+19,1.07664360411733e-15,2.02779426164664e-12,2.74438295530706e-06
