track_id,kappa,Omega_real,Omega_imag,Q
1,-0.42,0.421456741233674,0.124949985350905,1.68650176328581
1,-0.41,0.417822310438932,0.12918435675703,1.61715520720815
1,-0.4,0.41423405956498,0.132943818475776,1.55792899705397
1,-0.39,0.410689483988539,0.13627672290995,1.50682183728442
1,-0.38,0.407188388541196,0.13922195982501,1.46237127049855
1,-0.37,0.403732252532124,0.141811511276797,1.42348194761176
1,-0.36,0.400323822876758,0.144072216946732,1.3893165225075
1,-0.35,0.396966843914706,0.146027038921242,1.35922376721206
1,-0.34,0.393665870627517,0.147695998730234,1.33268969373553
1,-0.33,0.390426132394687,0.149096893959577,1.30930337321628
1,-0.32,0.3872534257894,0.15024586309265,1.28873240772891
1,-0.31,0.38415402143604,0.151157843385568,1.27070488977589
1,-0.3,0.381134573827282,0.151846951174145,1.25499580623841
1,-0.29,0.37820202545756,0.152326803539891,1.24141653559518
1,-0.28,0.375363498421961,0.152610792740943,1.22980652835983
1,-0.27,0.372626168261054,0.15271231911879,1.22002655192212
1,-0.26,0.369997116671069,0.15264498373137,1.21195308102034
1,-0.25,0.367483162007444,0.152422738506308,1.20547355863258
1,-0.24,0.365090669429043,0.15205998928315,1.20048235946278
1,-0.23,0.362825346034184,0.15157164592684,1.19687737048561
1,-0.22,0.360692030182044,0.150973114031453,1.19455716501582
1,-0.21,0.35869448787917,0.150280224825031,1.19341878912144
1,-0.2,0.356835231930385,0.149509103752504,1.19335620030566
1,-0.19,0.355115380706737,0.148675983516027,1.19425939653682
1,-0.18,0.353534572198447,0.147796973325662,1.19601424928863
1,-0.17,0.352090945213148,0.146887801638221,1.19850301143568
1,-0.16,0.350781193452864,0.145963553498923,1.20160541807942
1,-0.15,0.349600690686375,0.145038424739209,1.20520024715859
1,-0.14,0.348543677694932,0.144125513280305,1.20916716881716
1,-0.13,0.347603495546713,0.143236662944647,1.213388696723
1,-0.12,0.346772846140797,0.142382368454412,1.21775206405499
1,-0.11,0.346044060307568,0.141571743036829,1.22215087871577
1,-0.1,0.345409355809169,0.140812543567699,1.22648645872626
1,-0.09,0.344861071566327,0.140111243407198,1.23066879994804
1,-0.08,0.344391869326117,0.13947314042073,1.23461717534729
1,-0.07,0.343994898821892,0.138902487030999,1.23826040186423
1,-0.06,0.343663926568004,0.13840263006751,1.24153683495888
1,-0.05,0.34339343141699,0.137976150073951,1.24439416244381
1,-0.04,0.343178671819599,0.137624992035022,1.24678907059362
1,-0.03,0.343015730502937,0.137350581752513,1.24868684983441
1,-0.02,0.342901542251876,0.137153924057451,1.25006099755571
1,-0.01,0.342833909891951,0.13703568056161,1.2508928641319
1,-0,0.342811512642305,0.136996225710857,1.25117137666931
1,0,0.342811512642305,0.136996225710857,1.25117137666931
1,0.01,0.342833909891951,0.13703568056161,1.2508928641319
1,0.02,0.342901542251876,0.137153924057451,1.25006099755571
1,0.03,0.343015730502937,0.137350581752513,1.24868684983441
1,0.04,0.343178671819599,0.137624992035022,1.24678907059362
1,0.05,0.34339343141699,0.137976150073951,1.24439416244381
1,0.06,0.343663926568004,0.13840263006751,1.24153683495888
1,0.07,0.343994898821892,0.138902487030999,1.23826040186423
1,0.08,0.344391869326117,0.13947314042073,1.23461717534729
1,0.09,0.344861071566327,0.140111243407198,1.23066879994804
1,0.1,0.345409355809169,0.140812543567699,1.22648645872626
1,0.11,0.346044060307568,0.141571743036829,1.22215087871577
1,0.12,0.346772846140797,0.142382368454412,1.21775206405499
1,0.13,0.347603495546713,0.143236662944647,1.213388696723
1,0.14,0.348543677694932,0.144125513280305,1.20916716881716
1,0.15,0.349600690686375,0.145038424739209,1.20520024715859
1,0.16,0.350781193452864,0.145963553498923,1.20160541807942
1,0.17,0.352090945213148,0.146887801638221,1.19850301143568
1,0.18,0.353534572198447,0.147796973325662,1.19601424928863
1,0.19,0.355115380706737,0.148675983516027,1.19425939653682
1,0.2,0.356835231930385,0.149509103752504,1.19335620030566
1,0.21,0.35869448787917,0.150280224825031,1.19341878912144
1,0.22,0.360692030182044,0.150973114031453,1.19455716501582
1,0.23,0.362825346034184,0.15157164592684,1.19687737048561
1,0.24,0.365090669429043,0.15205998928315,1.20048235946278
1,0.25,0.367483162007444,0.152422738506308,1.20547355863258
1,0.26,0.369997116671069,0.15264498373137,1.21195308102034
1,0.27,0.372626168261054,0.15271231911879,1.22002655192212
1,0.28,0.375363498421961,0.152610792740943,1.22980652835983
1,0.29,0.37820202545756,0.152326803539891,1.24141653559518
1,0.3,0.381134573827282,0.151846951174145,1.25499580623841
1,0.31,0.38415402143604,0.151157843385568,1.27070488977589
1,0.32,0.3872534257894,0.15024586309265,1.28873240772891
1,0.33,0.390426132394687,0.149096893959577,1.30930337321628
1,0.34,0.393665870627517,0.147695998730234,1.33268969373553
1,0.35,0.396966843914706,0.146027038921242,1.35922376721206
1,0.36,0.400323822876758,0.144072216946732,1.3893165225075
1,0.37,0.403732252532124,0.141811511276797,1.42348194761176
1,0.38,0.407188388541196,0.13922195982501,1.46237127049855
1,0.39,0.410689483988539,0.13627672290995,1.50682183728442
1,0.4,0.41423405956498,0.132943818475776,1.55792899705397
1,0.41,0.417822310438932,0.12918435675703,1.61715520720815
1,0.42,0.421456741233674,0.124949985350905,1.68650176328581
2,-0.27,0.729336177382022,0.000824254743353423,442.421583414108
2,-0.26,0.738271543988199,0.00103835445097301,355.500736427906
2,-0.25,0.746847944725144,0.00117209562295235,318.595142793868
2,-0.24,0.755071615701702,0.00124564211875649,303.085294055198
2,-0.23,0.762949401251232,0.00127464324928491,299.279583396866
2,-0.22,0.770488232163815,0.0012711953443584,303.056581973519
2,-0.21,0.77769485685821,0.00124461714710824,312.42332578541
2,-0.2,0.784575717167284,0.00120206194683411,326.345792425104
2,-0.19,0.791136900882204,0.00114899616958516,344.273080200016
2,-0.18,0.79738412882439,0.00108957244184555,365.916068634114
2,-0.17,0.80332274976088,0.00102692066645463,391.131844942949
2,-0.16,0.808957725411391,0.000963375848359358,419.855722348166
2,-0.15,0.814293592366037,0.000900657185882583,452.055235404625
2,-0.14,0.819334389296232,0.000840009528459356,487.693509143257
2,-0.13,0.824083537144631,0.000782315649938961,526.695034931826
2,-0.12,0.828543657391682,0.000728185760871344,568.909543356252
2,-0.11,0.832716309224515,0.000678029126390658,614.071193119167
2,-0.1,0.836601620841047,0.000632111411513401,661.751714652687
2,-0.09,0.840197784348109,0.000590600284175455,711.308313643228
2,-0.08,0.843500381006513,0.000553600699299413,761.831029182198
2,-0.07,0.846501512026807,0.000521179998929592,812.100918843169
