kappa,Omega_low_real,Omega_low_imag,Omega_high_real,Omega_high_imag,absolute_shift,sigma_high,raw_high,distance_below_n0_line_high
0.04,0.0398231220045979,2.80026933049288e-20,0.039823349754482,8.3724273880626e-20,2.27749884104678e-07,7.76076740155806e-16,5.02198646988775e-13,0.000176650245518002
0.11,0.106168054099286,-4.46101383408162e-19,0.106172574229752,1.6671386392566e-19,4.52013046543798e-06,3.11720980376783e-15,3.07219605844437e-13,0.00382742577024844
0.3,0.224061887880622,6.12768159948923e-20,0.22410608931995,4.55646464655915e-18,4.42014393282064e-05,4.67963176558848e-16,8.72030328232031e-14,0.0758939106800503
0.5,0.253841785895043,1.54344416789394e-17,0.253902368046186,6.30383716544584e-18,6.05821511435733e-05,6.53088336525829e-16,8.54926241175999e-14,0.246097631953814
