N,K,kappa,d1_over_a,d2_over_a,w1_over_a,w2_over_a,g_over_a,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_over_Cnorm,finite_open_amplitude_over_Cnorm,max_parameter_step
121,15,0.0839406368487959,0.660740516530958,0.157164337500501,0.577071177321995,0.153256704980865,0.13483605884857,3.980827621352e-16,2.98026937395204e-14,7.03229261865558e-17,3.05876889498045e-14,5.65203641531729e-16,8.19589415621931e-17,NaN
185,23,0.0838833254629197,0.660860611731627,0.157224296876105,0.577038157326581,0.153259006243696,0.134851418214861,4.75655631722496e-14,4.80965163649711e-13,1.40651731021461e-14,1.95325763934257e-13,3.46572104959376e-14,4.18899681541012e-14,0.000120095200669801
281,35,0.0838537852819377,0.660929285489711,0.157257743775768,0.577021170755832,0.153257556059165,0.134860636592501,1.08511994539102e-15,1.32827075088735e-13,3.03399832584401e-16,9.76277477655414e-14,1.15222448482494e-15,9.24570429996725e-16,6.8673758083615e-05
313,39,0.0838486965529006,0.660941508245095,0.157263731977233,0.577018249315542,0.153256794268619,0.134862478207919,1.26036431743035e-15,1.37656676112385e-13,6.04111202939972e-16,7.59738070233436e-14,2.2102432408333e-15,2.58544189112006e-16,1.22227553842613e-05
345,43,0.08384452255647,0.660950804267166,0.15726812974302,0.577015861928954,0.153256853772221,0.134863642149412,1.51423130801137e-16,1.20124275462859e-13,9.55396051456967e-17,1.53803119174924e-13,5.26966478454176e-16,1.95413470034585e-16,9.29602207089264e-06
377,47,0.0838411770539855,0.660958569695802,0.157271686412546,0.577013927966294,0.153256816289301,0.134864627872203,6.24864970485051e-16,1.63338732201819e-13,4.93771837074446e-16,1.403814546247e-13,1.02555310479444e-15,1.81925576685974e-16,7.76542863611951e-06
