x_m,y_m,pressure_real_pa,pressure_imag_pa,pressure_abs_pa
0,0.02,0.0840950557927423,-0.0119816557510531,0.084944325786489
0.0001484,0.02,0.0865178143665283,-0.0051869180147561,0.0866731580205363
0.0002968,0.02,0.0884550504145457,0.00201723947962439,0.0884780492492797
0.0004452,0.02,0.0899066848231026,0.00963083405208377,0.0904210425753845
0.0005936,0.02,0.090810481786948,0.017562703319649,0.0924932005623745
0.000742,0.02,0.0911542417472596,0.0257113913120464,0.0947109889702299
0.0008904,0.02,0.0909379251683838,0.034076885537351,0.0971130287956065
0.0010388,0.02,0.0901107780755962,0.0426104003904412,0.0996774726145434
0.0011872,0.02,0.0886349910268848,0.0512676519255209,0.102394012365432
0.0013356,0.02,0.0865103119683019,0.0600485536312084,0.105308417849919
0.001484,0.02,0.083721997002485,0.0688300906960402,0.108383366654248
0.0016324,0.02,0.0803074731155466,0.077509371597194,0.111610899663053
0.0017808,0.02,0.0762666724250077,0.0860863180533176,0.115010692888794
0.0019292,0.02,0.0715781172896093,0.0945007539655133,0.118548805876633
0.0020776,0.02,0.0662312658866045,0.102705998846446,0.122209258159881
0.002226,0.02,0.0602257835006043,0.110701674698983,0.126023830204534
0.0023744,0.02,0.0536058205485252,0.118360033182943,0.129933373125414
0.0025228,0.02,0.0464548510288081,0.125603263241668,0.133918754926502
0.0026712,0.02,0.0387728344708067,0.132431178044776,0.137990396807994
0.0028196,0.02,0.0305695920005678,0.138788261674658,0.142115029232501
0.002968,0.02,0.0218586473382073,0.144639846770144,0.146282212647836
0.0031164,0.02,0.0126397984251131,0.149985156431457,0.150516815186863
0.0032648,0.02,0.00301298014743623,0.154721315363946,0.154750649359925
0.0034132,0.02,-0.00690892805256852,0.158816316800974,0.158966524051647
0.0035616,0.02,-0.0171258542491146,0.162269864428547,0.16317108746779
0.00371,0.02,-0.0276037555262309,0.165045534603691,0.167337968828864
0.0038584,0.02,-0.0383156063375915,0.167130689988622,0.171466478429722
0.0040068,0.02,-0.0492612061692494,0.168524198853191,0.175576399417345
0.0041552,0.02,-0.0603023736820818,0.169172141890559,0.179598412753378
0.0043036,0.02,-0.0713216969785302,0.16909764631205,0.183523291296153
0.004452,0.02,-0.0823189109366888,0.168300362277858,0.187353716378034
0.0046004,0.02,-0.0932498642828903,0.16677112553567,0.191071048307198
