x_m,y_m,incident_real_pa,incident_imag_pa,reflected_real_pa,reflected_imag_pa,incident_abs_pa,reflected_abs_pa
0,0.02,-0.00433606168618341,0.00183302538333504,0.0329049541123477,-0.0230799319972341,0.00470759099777564,0.040192278687985
7.42e-05,0.02,-0.00431501042358629,0.00170437879153047,0.0337240561136924,-0.0218956660297216,0.00463942044017108,0.040208607929703
0.0001484,0.02,-0.00429436231565146,0.00158297565150519,0.0345135732187613,-0.0206910924147471,0.00457682855385098,0.0402406267550892
0.0002226,0.02,-0.00427411736237891,0.0014688159632592,0.0352735054275545,-0.0194662111523105,0.00451945788356457,0.0402883799844825
0.0002968,0.02,-0.00425427556376865,0.00136189972679249,0.0360038527400719,-0.0182210222424117,0.00446694878393703,0.0403519895877173
0.000371,0.02,-0.00423483691982068,0.00126222694210506,0.0367046151563135,-0.0169555256850509,0.00441894337945761,0.0404316537508608
0.0004452,0.02,-0.00421579960542464,0.00116979826448116,0.0373757680874471,-0.0156697106163687,0.00437508791828023,0.0405276186190031
0.0005194,0.02,-0.00419775190275103,0.00108477926614362,0.0380102141373661,-0.0143690878886299,0.00433565071163545,0.0406355394392593
0.0005936,0.02,-0.00418184281750832,0.00100712946229246,0.0386085990939817,-0.013062480774069,0.00430140896732262,0.0407584632680469
0.0006678,0.02,-0.00416807234969651,0.000936848852927683,0.0391709229572941,-0.0117498892726859,0.0042720619009486,0.0408952454846117
0.000742,0.02,-0.00415644049931561,0.000873937438049288,0.0396971857273032,-0.0104313133844807,0.00424732436599504,0.0410448395488794
0.0008162,0.02,-0.00414694726636561,0.000818395217657274,0.040187387404009,-0.00910675310945341,0.00422693060769887,0.0412062987728386
0.0008904,0.02,-0.00413959384696283,0.000770224842305748,0.0406415080265993,-0.00777620842440063,0.00421063932503337,0.0413787577403654
0.0009646,0.02,-0.00413593854998438,0.000728314357012592,0.0410589382424712,-0.00644113907168576,0.00419957491799796,0.0415610957764573
