x_m,y_m,pressure_real_pa,pressure_imag_pa,pressure_abs_pa
0,0.02,0.146455400115771,-0.0682851697612467,0.161592229492612
0.0001484,0.02,0.153902431909886,-0.0554261956415611,0.163578793586069
0.0002968,0.02,0.160284676942989,-0.0417429187934404,0.165631062702967
0.0004452,0.02,0.165601981639224,-0.0272352872399463,0.167826628381435
0.0005936,0.02,0.169714997457542,-0.012088507069052,0.170144974551622
0.000742,0.02,0.172581623303125,0.00348076767650563,0.172616721222365
0.0008904,0.02,0.174201763055878,0.0194725341564504,0.175286718944278
0.0010388,0.02,0.174497938804122,0.0357570516434532,0.178123826000678
0.0011872,0.02,0.17342356658819,0.0522070942510298,0.18111133078387
0.0013356,0.02,0.170978147791489,0.0688225381856489,0.184309708872114
0.001484,0.02,0.16713055318937,0.0853590545925338,0.187666699257796
0.0016324,0.02,0.161952895604744,0.101602393736687,0.19118521597599
0.0017808,0.02,0.155445006163148,0.11755242644001,0.194889001493145
0.0019292,0.02,0.147604989119025,0.133065554604576,0.198730155323874
0.0020776,0.02,0.138456866870209,0.148021556871139,0.202683707490441
0.002226,0.02,0.127999985868551,0.162419777313737,0.206795020358308
0.0023744,0.02,0.11632900912546,0.176021138493908,0.210987865908926
0.0025228,0.02,0.103615117600795,0.188673759142948,0.215253060337263
0.0026712,0.02,0.0898581970983181,0.200377303853037,0.219603186418532
0.0028196,0.02,0.0751281531701395,0.211016017376606,0.223991068992137
0.002968,0.02,0.0595037677544932,0.220512172084956,0.228399466756396
0.0031164,0.02,0.0429846667039517,0.22886442221958,0.23286606736395
0.0032648,0.02,0.0257738635049171,0.235903032980313,0.237306833043806
0.0034132,0.02,0.00809756264555905,0.241580662453515,0.241716335799379
0.0035616,0.02,-0.0100441200454971,0.245896801110027,0.246101851158484
0.00371,0.02,-0.0285353861321401,0.248795911478447,0.250426983031185
0.0038584,0.02,-0.0472747468114452,0.250263007908492,0.254688976623434
0.0040068,0.02,-0.0662617957844955,0.250296228985837,0.25891857373529
0.0041552,0.02,-0.0852330650987889,0.248840417539473,0.263032752309201
0.0043036,0.02,-0.103966256989472,0.245965283251649,0.267035396824962
0.004452,0.02,-0.122460892583179,0.241670299632451,0.270926565579508
0.0046004,0.02,-0.140594764772758,0.235972814780249,0.274681738011141
0.0047488,0.02,-0.158281139852638,0.228919877180805,0.278311389277416
0.0048972,0.02,-0.175518494227639,0.220509604439192,0.281835461689736
0.0050456,0.02,-0.192047022680854,0.210814835928941,0.285175303924318
0.005194,0.02,-0.207704679880687,0.2000027163764,0.288344101036032
0.0053424,0.02,-0.222490614961953,0.188072931553139,0.291330570536529
0.0054908,0.02,-0.236316502975259,0.175104731506652,0.29412098968702
0.0056392,0.02,-0.249141255730534,0.161186631516888,0.296736407417001
