frequency_hz,probe_real_pa,probe_imag_pa,probe_abs_pa,probe_phase_rad
179600,-0.686500317986527,0.148917222505619,0.702466387633167,2.92797986103622
179620,-0.679443878903784,0.152726627497417,0.696397449253337,2.92048589367849
179640,-0.672305538168261,0.155977061146423,0.690161995661591,2.91362251004592
179660,-0.665379874224779,0.158597926048367,0.684020233012318,2.90760180348123
179680,-0.658946265993609,0.160718101215791,0.678262846929808,2.90236177016137
179700,-0.653145122994928,0.162586193091469,0.673077129217772,2.89762306487048
179720,-0.647966983024454,0.164447383055821,0.66850890262114,2.89305035332596
179740,-0.643316449219501,0.16647724323289,0.664507882835719,2.88836795742118
179760,-0.639074504218005,0.168780916158512,0.660986550241981,2.88338609553452
179780,-0.635128537554165,0.171419390551064,0.657854745876771,2.87797667099118
179800,-0.631375928660278,0.174435074452394,0.655029127971299,2.8720389856335
179820,-0.627713218354761,0.177867855491276,0.652426898981301,2.86547236808987
179840,-0.624017116209821,0.181760758631323,0.649949486268783,2.8581592866587
179860,-0.620118190559502,0.186153090400716,0.647456209583728,2.8499618362184
179880,-0.615767166225311,0.191051846539677,0.644724756052822,2.84074398110351
179900,-0.61060288943307,0.196359880824336,0.641399322872546,2.8304538597671
179920,-0.604165922313279,0.20172959523555,0.636954701119753,2.81933428000419
179940,-0.596081051817468,0.206351481492811,0.630788042253574,2.80832478312773
179960,-0.586575260977976,0.208901252289393,0.622663849921816,2.79946092050342
179980,-0.577103617114345,0.208194271834285,0.613509119501144,2.79536692926855
180000,-0.569954014280214,0.204516096253407,0.605536466301464,2.79707400524092
180020,-0.56647750252275,0.199844847179844,0.600695200420935,2.80243879499262
180040,-0.566209278202766,0.196206154373192,0.599241021406924,2.80801618706604
180060,-0.567883306370014,0.194460112470107,0.600255099933042,2.81167782712199
180080,-0.5705153256511,0.194555306774542,0.602776496055475,2.81294299779778
180100,-0.573651370695919,0.196161328357011,0.606263277664163,2.81210530979004
180120,-0.577216627906022,0.199018640837064,0.610563227628254,2.80956659301632
180140,-0.581348945264963,0.203058617530348,0.61579168418713,2.80555164922773
180160,-0.586297497878132,0.208459565700645,0.622254085201744,2.79997983834208
180180,-0.592344952157991,0.215737561353923,0.630408786206213,2.79231568780165
180200,-0.599656566796188,0.225926890411744,0.640804929688365,2.78127945090163
180220,-0.607845831736792,0.240845659418973,0.653821984045162,2.76434205176338
180240,-0.614830474141141,0.263125572700659,0.668768703620071,2.73721379010372
180260,-0.614809701662843,0.294521325648789,0.681713855309303,2.69484938646437
180280,-0.598743983176509,0.330047540235813,0.683685407337163,2.63780316875028
180300,-0.565407235307107,0.354662813379058,0.667436178920183,2.58136287622941
180320,-0.529593409416777,0.359312690079373,0.639980303251406,2.54546367704142
180340,-0.504197400438936,0.351976387512096,0.614900313852129,2.53214808645571
180360,-0.489558532444311,0.34312350061014,0.597830488817678,2.53027397824179
180380,-0.481381953375362,0.33733385369253,0.587811801414817,2.5303559180454
180400,-0.476159664109403,0.335522161687705,0.58249733622427,2.52775795302483
