state,theta_deg,frequency_hz,waist_mm,incident_rms_pa,reflected_rms_pa,incident_max_pa,reflected_max_pa
1,0,178780.2005,25,0.613881953882065,0.632449372843942,1.35691129550541,2.49222642536408
2,7.05,180046.681327,25,0.614253989421268,0.93963891475423,1.35732344168282,2.59574116185469
3,10.05404,180498.322,25,0.617656754991762,1.18847949370691,1.36313867851807,4.0309328742987
