theta_deg,peak_frequency_hz,peak_probe_rms_pa,sampled_fwhm_hz
6.8,179960,0.592582869680077,46
6.95,179960,0.604250239542598,46
7.05,179960,0.611935945488791,46
7.15,179960,0.619541090944969,46
7.3,179960,0.630786166668865,44
