state,frequency_hz,max_pressure_pa,scanline_rms_pa
1,180041.681327,5.59467673806882,1.67220924347993
2,180046.681327,5.57409345250583,1.66803540378317
3,180051.681327,5.55282861640372,1.66388056979366
