x_m,y_m,incident_real_pa,incident_imag_pa,reflected_real_pa,reflected_imag_pa,incident_abs_pa,reflected_abs_pa
0,0.02,0.0102334409280199,-0.00281613433890463,-0.0974214871960203,-0.0927301083381622,0.0106138553712603,0.134498398354373
7.42e-05,0.02,0.0102910376999872,-0.0023977725240331,-0.0930893738187216,-0.0969988928020546,0.0105666820724183,0.134441127348688
0.0001484,0.02,0.0103346516072633,-0.00198210473607072,-0.088596300291972,-0.101066296169546,0.0105230111198394,0.134401267281435
0.0002226,0.02,0.010364282649848,-0.00156913097501749,-0.0839422666157713,-0.104932318440636,0.010482391275978,0.134376692837412
0.0002968,0.02,0.0103799308277414,-0.00115885124087341,-0.0791272727901197,-0.108596959615325,0.0104444195715784,0.134366755326214
0.000371,0.02,0.0103815961409436,-0.000751265533638492,-0.0741513188150171,-0.112060219693613,0.0104087433600645,0.13437228479038
0.0004452,0.02,0.0103692703833741,-0.000346374621760793,-0.0690143413475101,-0.115321987951118,0.0103750539112873,0.134395462038822
0.0005194,0.02,0.010342303383173,5.31631598527278e-05,-0.0637443329168735,-0.118343018766561,0.0103424400211535,0.134418786149109
0.0005936,0.02,0.0103026075173784,0.000444962090568563,-0.0583886515145557,-0.121119025926234,0.0103122118344798,0.134458369270968
0.0006678,0.02,0.0102501827859904,0.000829022170386712,-0.0529472971405566,-0.123650009430135,0.0102836532859294,0.134509260300408
0.000742,0.02,0.0101850291890089,0.00120534339930717,-0.0474202697948762,-0.125935969278265,0.010256104147834,0.134568013827488
0.0008162,0.02,0.0101071467264339,0.00157392577732995,-0.0418075694775145,-0.127976905470624,0.0102289616922837,0.13463268993619
0.0008904,0.02,0.0100165311552425,0.00193476543719552,-0.0361091845480163,-0.129772734755845,0.0102016770033612,0.134702768697357
0.0009646,0.02,0.00991433432884054,0.00228688966757566,-0.0303517820666314,-0.131311374190268,0.0101746690135695,0.134773542160014
0.0010388,0.02,0.00980232933742593,0.00262994250287893,-0.0245631461823339,-0.132593796400225,0.0101490028085428,0.134849779362811
0.001113,0.02,0.00968051618099864,0.00296392394310534,-0.0187432768951239,-0.133620001385714,0.0101240919924253,0.134928185339778
0.0011872,0.02,0.00954889485955868,0.00328883398825489,-0.0128921742050013,-0.134389989146737,0.0100993971127591,0.135006952926848
0.0012614,0.02,0.00940746537310605,0.00360467263832757,-0.00700983811196613,-0.134903759683293,0.0100744265134893,0.135085758712914
0.0013356,0.02,0.00925620856571629,0.00391142700574205,-0.0010962862308019,-0.135160931509408,0.0100487142577191,0.135165377408532
0.0014098,0.02,0.00909570520452183,0.00420678613433236,0.00480438638278623,-0.135142502788195,0.0100214221918636,0.135227875041991
0.001484,0.02,0.0089284400850305,0.00448982065456453,0.010651497470858,-0.134868528301207,0.0099937746553609,0.135288485557734
0.0015582,0.02,0.0087544132072423,0.00476053056643857,0.0164450470334133,-0.134339008048444,0.00996505905035863,0.135341821531156
0.0016324,0.02,0.00857362457115722,0.00501891586995448,0.0221850350704521,-0.133553942029907,0.00993461397321667,0.135384013874626
0.0017066,0.02,0.00838607417677527,0.00526497656511225,0.0278714615819746,-0.132513330245595,0.00990182903960466,0.13541270643294
0.0017808,0.02,0.00819175906915839,0.00549870253343147,0.0335042492976316,-0.131217021865081,0.00986613633588673,0.135426886356214
0.001855,0.02,0.00799225377749761,0.00572000008288026,0.0390544472674574,-0.129669241146689,0.00982825118686305,0.135422900393268
0.0019292,0.02,0.00778927441499357,0.00592953101948163,0.0445002672534284,-0.12788519676035,0.00978938884829223,0.135406415416922
0.0020034,0.02,0.00758282098164627,0.00612729534323559,0.0498417092555444,-0.125864888706064,0.0097489959617866,0.135374171061189
0.0020776,0.02,0.00737289347745571,0.00631329305414213,0.0550787732738056,-0.123608316983829,0.00970655589884425,0.135324378043729
0.0021518,0.02,0.00715949190242189,0.00648752415220125,0.0602114593082119,-0.121115481593646,0.00966158858191753,0.135256717813517
0.002226,0.02,0.0069425978920632,0.00664995885922062,0.065239415619497,-0.118385853232528,0.00961361629774182,0.135171711522667
0.0023002,0.02,0.00672351919058917,0.0067992442639668,0.070116276271485,-0.115426211563913,0.00956218766116344,0.135053702334207
0.0023744,0.02,0.00650455644664043,0.00693585039641704,0.0748190706218691,-0.112273848903957,0.00950869472057075,0.134919644516389
0.0024486,0.02,0.00628570966021698,0.00705977725657132,0.0793477986706494,-0.10892876525266,0.00945254467563877,0.134764791593899
0.0025228,0.02,0.00606697883131881,0.00717102484442965,0.0837024604178258,-0.105390960610021,0.00939317994393262,0.134585870203007
0.002597,0.02,0.00584836395994594,0.00726959315999203,0.0878830558633984,-0.101660434976041,0.00933007747662352,0.134381083294514
0.0026712,0.02,0.00562986851194194,0.00735546903824038,0.0918893614427381,-0.0977370683431031,0.00926273956420389,0.134149876163411
0.0027454,0.02,0.0054128949811076,0.0074295482366177,0.0956996720154191,-0.0936402780953176,0.00919225864935974,0.133891481826243
0.0028196,0.02,0.00519857721047316,0.00749329196618235,0.0993045840506527,-0.0893938133792144,0.00912001258243123,0.13361382519766
0.0028938,0.02,0.00498691520003862,0.00754670022693433,0.102704097548439,-0.0849976741947935,0.00904555180890513,0.133314426345252
0.002968,0.02,0.00477790894980398,0.00758977301887365,0.105898212508778,-0.080451860542055,0.00896844849517682,0.132992230138578
0.0030422,0.02,0.00457155845976923,0.00762251034200029,0.10888692893167,-0.0757563724209988,0.00888829627459554,0.132647620614015
0.0031164,0.02,0.00436785599809637,0.00764487212367526,0.111669468068975,-0.0709108312189476,0.00880467124925477,0.132281578774106
0.0031906,0.02,0.00416814130051095,0.00765664660098465,0.114211487335793,-0.0659452158387808,0.0087176624776023,0.131882657432573
0.0032648,0.02,0.00397395312186064,0.00765926016753481,0.116513041990087,-0.0609022712993137,0.0086288220359868,0.131470055918444
0.003339,0.02,0.00378529146214543,0.00765271282332573,0.118574132031856,-0.0557819976005461,0.00853770724548958,0.131039902485523
0.0034132,0.02,0.00360215632136532,0.00763700456835742,0.120394757461101,-0.0505843947424783,0.00844389536533135,0.130589733959374
0.0034874,0.02,0.00342454769952033,0.00761213540262987,0.121974918277822,-0.0453094627251101,0.00834698342721854,0.130118515597587
0.0035616,0.02,0.00325247603325178,0.00757809589109737,0.123314282543595,-0.0399572392330436,0.00824658339444549,0.129626360152433
0.0036358,0.02,0.00308661166085425,0.00753652028722235,0.124405690434309,-0.0345560482938072,0.00814409660948564,0.129115825080123
0.00371,0.02,0.00292719696257228,0.00748921395960537,0.125254229510611,-0.0291301737450693,0.00804094570249298,0.128597002425075
0.0037842,0.02,0.00277423193840588,0.00743617690824642,0.125859899772502,-0.0236796155868297,0.00793681862327775,0.128068101278516
0.0038584,0.02,0.00262771658835503,0.00737740913314552,0.126222701219982,-0.0182043738190886,0.00783141494153739,0.127528700806579
0.0039326,0.02,0.00248765091241975,0.00731291063430265,0.126342633853051,-0.0127044484418459,0.0077244461942174,0.126979778465461
0.0040068,0.02,0.00235403857394704,0.00724264377930092,0.126218646661406,-0.00717993684702568,0.00761560152065987,0.126422696768279
0.004081,0.02,0.00222762557424508,0.00716726629912978,0.125838686129501,-0.00167416762549456,0.00750546613486945,0.125849822264623
0.0041552,0.02,0.00210896597605084,0.00708851140346069,0.125224011803603,0.00377716406882459,0.00739558864493776,0.125280964637856
0.0042294,0.02,0.00199805977936431,0.00700637909229365,0.124374623683711,0.00917405823593196,0.00728571141803207,0.124712510843864
0.0043036,0.02,0.00189490698418549,0.00692086936562866,0.123290521769826,0.0145165148758274,0.00717559093418878,0.124142184459659
0.0043778,0.02,0.00179950759051438,0.00683198222346573,0.121971706061947,0.0198045339885108,0.00706499884430781,0.123569076415437
0.004452,0.02,0.00171187355517949,0.00673971770507311,0.120417868808931,0.0250378424331311,0.00695372603810351,0.122993319664895
0.0045262,0.02,0.00163161982070487,0.00664591647233523,0.118638918751186,0.0301885585370845,0.00684327326625013,0.122419533200374
0.0046004,0.02,0.00155808453010298,0.00655219915818508,0.116651889287073,0.0352394871025477,0.00673490469208492,0.121858461854293
0.0046746,0.02,0.0014912676833738,0.00645856576262267,0.114456780416591,0.0401906281295206,0.00662849538082338,0.121308042490089
0.0047488,0.02,0.00143116928051733,0.006365016285648,0.112053592139742,0.0450419816180033,0.00652393116349803,0.120767494051571
0.004823,0.02,0.00137778932153359,0.00627155072726107,0.109442324456524,0.0497935475679958,0.00642110986817239,0.120237347616509
0.0048972,0.02,0.00133113322348852,0.00617814364067489,0.10662202139565,0.0544445769899451,0.00631991886842597,0.119718283524733
0.0049714,0.02,0.00129103835117639,0.00608572422536072,0.103605873840672,0.0589521578230589,0.00622115900547082,0.119203749967374
0.0050456,0.02,0.00125723246091957,0.00599571507678276,0.100428433336144,0.063297040389477,0.00612611073542994,0.118711353898519
0.0051198,0.02,0.00122971555271807,0.005908116194941,0.0970896998820645,0.0674792246891996,0.0060347358942642,0.118236439340183
0.005194,0.02,0.00120848762657188,0.00582292757983544,0.0935896734784347,0.0714987107222265,0.00594701000029305,0.1177756028078
0.0052682,0.02,0.00119354868248101,0.00574014923146608,0.0899283541252542,0.0753554984885578,0.00586292347357125,0.117326723418564
0.0053424,0.02,0.00118490301936199,0.00565979077246683,0.0861056293275931,0.0790491116064891,0.0057824931261,0.11688858561757
0.0054166,0.02,0.00118114142515234,0.00558326828839802,0.0821453288524007,0.0825613640487047,0.00570683623792043,0.11646559099516
