theta_deg,frequency_hz,central_six_probe_rms_pa,coherent_probe_real_pa,coherent_probe_imag_pa,coherent_probe_abs_pa,coherent_probe_phase_rad
6.8,179960,0.592582869680077,-0.147678169978748,0.00849867034571761,0.147922511085761,3.08410746896864
6.8,179962,0.591929456116979,-0.147338777624056,0.00840385922271595,0.14757825124857,3.08461672576106
6.8,179964,0.591255809376943,-0.147001888818106,0.00829942639960032,0.147235986751382,3.08519456816775
6.8,179966,0.590562424533101,-0.146668169921491,0.00818535044798868,0.146896398969055,3.0858418505579
6.8,179968,0.589849945277289,-0.146338300414525,0.00806166801729844,0.146560187839102,3.08655902562762
6.8,179970,0.58911916512354,-0.146012966675135,0.00792847633356312,0.146228065617535,3.08734611658475
6.8,179972,0.588371026395749,-0.145692855305521,0.0077859349038825,0.145900750064566,3.08820269443665
6.8,179974,0.587606616865819,-0.145378646113127,0.00763426634088521,0.145578957161567,3.0891278612615
6.8,179976,0.586827163996662,-0.14507100489991,0.00747375624268757,0.145263393513455,3.09012024023455
6.8,179978,0.586034026770773,-0.144770576188942,0.0073047520828635,0.14495474857027,3.09117797304683
6.8,179980,0.585228685193762,-0.144477976060636,0.00712766109492158,0.144653686849875,3.09229872515679
6.8,179982,0.58441272760814,-0.14419378525515,0.00694294716449497,0.14436084033261,3.09347969909083
6.8,179984,0.583587836028169,-0.143918542697407,0.00675112676961424,0.144076801202708,3.09471765578728
6.8,179986,0.58275576978225,-0.143652739602818,0.00655276404378365,0.143802115116603,3.09600894369526
6.8,179988,0.581918347781388,-0.143396814296009,0.00634846505508108,0.143537275154573,3.09734953514631
6.8,179990,0.581077429801372,-0.143151147855378,0.00613887142920894,0.143282716594628,3.09873506920682
6.8,179992,0.580234897183943,-0.142916060697772,0.00592465345492815,0.143038812648632,3.10016090007905
6.8,179994,0.579392633369296,-0.142691810130226,0.00570650282757079,0.142805871212501,3.10162214990523
6.8,179996,0.578552504697874,-0.142478588948985,0.00548512519557021,0.142584132733292,3.10311376471863
6.8,179998,0.577716341875117,-0.142276525058339,0.00526123267551613,0.142373769184994,3.10463057219437
6.8,180000,0.576885922481118,-0.142085682101856,0.00503553649514795,0.142174884160824,3.10616733985794
6.8,180002,0.576062954862187,-0.14190606105939,0.00480873991863336,0.141987514046117,3.10771883240141
6.8,180004,0.57524906366287,-0.141737602688423,0.00458153158875746,0.141811630156205,3.10927986685957
6.8,180006,0.57444577726351,-0.141580190808305,0.0043545794020596,0.141647141838743,3.11084536455375
6.8,180008,0.57365451722972,-0.141433656208003,0.00412852501487284,0.141493900317865,3.11241039879374
6.8,180010,0.57287658989598,-0.141297781123683,0.00390397905230599,0.141351703219017,3.11397023757216
6.8,180012,0.57211318011119,-0.141172304150949,0.00368151706509099,0.14122029962859,3.11552038068505
6.8,180014,0.571365347088607,-0.141056925417572,0.00346167626146467,0.141099395501177,3.11705659086831
6.8,180016,0.570634022317588,-0.14095131196727,0.00324495301422512,0.140988659350174,3.11857491879494
6.8,180018,0.569920009373937,-0.14085510316957,0.00303180112553153,0.140887728021197,3.12007172191747
6.8,180020,0.569223985481938,-0.140767916082438,0.00282263081382541,0.140796212459367,3.12154367733174
6.8,180022,0.568546504631798,-0.140689350664229,0.00261780837338083,0.140713703351884,3.12298778896812
6.8,180024,0.567888002054382,-0.140618994764797,0.00241765644654226,0.140639776561809,3.12440138953011
6.8,180026,0.56724879981522,-0.140556428809133,0.00222245483808009,0.140573998253888,3.12578213770169
6.8,180028,0.566629113337336,-0.140501230148286,0.00203244180535223,0.140515929676581,3.12712801114677
6.8,180030,0.566029058613935,-0.140452977019569,0.00184781574014026,0.140465131533306,3.12843729596283
6.8,180032,0.565448659927362,-0.140411252109418,0.00166873717757578,0.140421167929562,3.12970857313027
6.8,180034,0.564887857875658,-0.140375645694212,0.00149533105422017,0.140383609866069,3.1309407025982
6.8,180036,0.56434651754611,-0.140345758369405,0.00132768915335219,0.140352038285062,3.13213280553925
6.8,180038,0.563824436681767,-0.140321203369083,0.00116587267188599,0.140326046670013,3.13328424532948
6.8,180040,0.563321353715381,-0.140301608494171,0.00100991485642256,0.140305243216598,3.13439460771317
6.8,180042,0.562836955562718,-0.140286617670151,0.000859823657624992,0.140289252596388,3.13546368059401
6.8,180044,0.562370885090432,-0.140275892160488,0.000715584363396175,0.140277717341002,3.13649143380584
6.8,180046,0.561922748190654,-0.140269111463729,0.000577162173834596,0.140270298876843,3.13747799919
6.8,180048,0.561492120413956,-0.140265973927505,0.00044450469156293,0.140266678246304,3.13842365122147
