sound_speed_m_per_s,f_BIC_Hz,delta_f_Hz,Omega,kappa,sigma_ratio,strict_residual,finite_open_power
1400,186666.666666667,-13333.3333333333,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1410,188000,-12000,0.916151303447099,0.0838486965529006,4.99404530985694e-16,1.0185029671502e-13,0
1420,189333.333333333,-10666.6666666667,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1430,190666.666666667,-9333.33333333334,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1440,192000,-8000,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
1450,193333.333333333,-6666.66666666669,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1460,194666.666666667,-5333.33333333334,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1470,196000,-4000,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
1480,197333.333333333,-2666.66666666669,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1490,198666.666666667,-1333.33333333334,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1500,200000,0,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
1510,201333.333333333,1333.33333333331,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1520,202666.666666667,2666.66666666666,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1530,204000,4000,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
1540,205333.333333333,5333.33333333331,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1550,206666.666666667,6666.66666666666,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1560,208000,8000,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
1570,209333.333333333,9333.33333333334,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
1580,210666.666666667,10666.6666666667,0.916151303447099,0.0838486965529006,2.12522159211406e-16,1.13878822212833e-13,0
1590,212000,12000,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
1600,213333.333333333,13333.3333333333,0.916151303447099,0.0838486965529006,1.18172784146322e-15,9.69437720888158e-14,0
