sound_speed_m_per_s,fixed_frequency_Hz,Omega,kappa,rayleigh_detuning,target_ky_over_k0,target_is_threshold,full_operator_sigma_ratio,full_operator_raw_residual,open_amplitude_ratio,open_power,open_power_fraction,forced_zero_control_residual
1400,200000,0.981590682264749,0.0898378891638221,0.0714285714285714,0.374487862940338+0i,0,0.141734888814323,0.604094877741799,0.775573443054912,0.00160984141399461,1,0.680161387149001
1410,200000,0.974629046220318,0.0892007410137241,0.0638297872340425,0.355940461756669+0i,0,0.139306904677061,0.604814621933355,0.772668385228484,0.00156495633919775,1,0.703783561349864
1420,200000,0.967765461387781,0.0885725667812331,0.056338028169014,0.336214456811841+0i,0,0.135540861298117,0.605170168437555,0.764258958544824,0.00152138963124644,1,0.742821914552389
1430,200000,0.960997870748706,0.0879531782023433,0.0489510489510488,0.315088567629506+0i,0,0.13007194799986,0.604779063559358,0.748090275251625,0.00147589903794614,1,0.810951402309702
1440,200000,0.954324274424062,0.0873423922426048,0.0416666666666667,0.292259380961756+0i,0,0.122415924555222,0.602895018440414,0.720772308502726,0.00142241837639213,1,0.939699188572832
1450,200000,0.947742727703896,0.0867400309167938,0.0344827586206896,0.267290818954347+0i,0,0.111946225752325,0.598023114863883,0.67722000580288,0.00134953391498432,1,1.19767301668513
1460,200000,0.941251339157979,0.0861459211159938,0.0273972602739726,0.23951474664877+0i,0,0.0971881671152368,0.587291858838078,0.609871592414424,0.00122888775387228,1,1.58325092137708
1470,200000,0.934848268823571,0.0855598944417353,0.020408163265306,0.207808425370498+0i,0,0.0780957630906832,0.564136856532187,0.509694046160681,0.00103590989738342,1,1.43021600074379
1480,200000,0.928531726466655,0.0849817870468588,0.0135135135135135,0.169986662051787+0i,0,0.0550319383609527,0.512698700454619,0.37069388022368,0.000737833371596982,1,0.949573052025035
1490,200000,0.922299969913187,0.0844114394827859,0.00671140939597314,0.120418788915407+0i,0,0.028675624174383,0.384984013546514,0.195848849749306,0.000315324513769334,1,0.562635133248536
1500,200000,0.916151303447099,0.0838486965529006,0,1.82138377867007e-08+0i,1,7.77968357585844e-16,8.80355845229505e-14,4.54440331165788e-16,2.84515192202936e-32,1.28134251358639e-16,9.69437720888158e-14
1510,200000,0.910084076271953,0.0832934071717556,0.00662251655629142,0-0.120857721706356i,0,0.0285878740343034,0.554277493064239,0.0315250808926257,0.000101864562623953,1,0.582460520680105
1520,200000,0.904096681033322,0.0827454242298362,0.013157894736842,0-0.171228157626892i,0,0.0585618708392303,0.649070696722739,0.0586915293962219,0.000122064728289862,1,0.642692497300442
1530,200000,0.898187552399117,0.0822046044636281,0.0196078431372549,0-0.21008921725007i,0,0.0711858777402425,0.576833734909698,0.0385011253932853,3.08274755462335e-05,1,0.617300827421183
1540,200000,0.892355165695227,0.0816708083307474,0.025974025974026,0-0.243026296143838i,0,0.0545733633233435,0.528552249475756,0.0108688357735258,3.13811874055279e-06,1,0.593572602312853
1550,200000,0.886598035593967,0.0811438998899039,0.032258064516129,0-0.272198431667479i,0,0.039163655728267,0.475311941943401,0.0101307307508906,4.000897538323e-06,1,0.577795364872716
1560,200000,0.88091471485298,0.0806237466854814,0.0384615384615385,0-0.298710722872943i,0,0.0260845333296665,0.397592892960552,0.027136170217364,4.33003046291396e-05,1,0.568401558434458
1570,200000,0.875303793102324,0.0801102196365293,0.0445859872611465,0-0.323218362548472i,0,0.0145821614617579,0.277525391873921,0.0442663841883639,0.000174056767966353,1,0.563266080238522
1580,200000,0.869763895677626,0.079603192929969,0.050632911392405,0-0.346147407891425i,0,0.00423315961883707,0.0973499647284018,0.0612739922067709,0.000475496799838778,1,0.560747984471483
1590,200000,0.864293682497264,0.0791025439178308,0.0566037735849056,0-0.367793216717748i,0,0.00578861458351475,0.147307257672638,0.0781566908876679,0.000929477726009444,1,0.559799503715508
1600,200000,0.858891846981656,0.0786081530183444,0.0625,0-0.388370411732692i,0,0.0148725006359665,0.368233708041835,0.0949109472130051,0.00127707506559115,1,0.559827158347671
