state,theta_deg,frequency_kHz,eta_m1,eta_0,eta_p1
resolved near-BIC response,6.21111111111111,200.275,0.290558558375719,0.709441441624204,0
anomalous reflection,32.6328,202.43,0.999915130665701,8.48693342916574e-05,0
