channel,groove,real,imag,residual_relative
open,q1,-0.0158092047088477,0.0933623170065601,8.363128510620587e-16
open,q2,0.0158092047088477,-0.09336231700656,8.363128510620587e-16
rayleigh,q1,-0.084842466386039,0.0461188283108859,5.181590220499708e-16
rayleigh,q2,0.0848424663860389,-0.0461188283108859,5.181590220499708e-16
