orders,amplitudes
-156,2.78513287651303e-05
-155,3.93800488120933e-05
-154,2.52766396329746e-05
-153,1.08865446980814e-05
-152,1.3785118514345e-05
-151,1.72467795679008e-05
-150,2.24964245140716e-06
-149,3.49510418670473e-05
-148,4.74669517756188e-05
-147,2.96274618789755e-05
-146,8.29974570387267e-06
-145,6.58800463157163e-06
-144,9.95958544340095e-06
-143,8.63384910252084e-06
-142,4.24974185378243e-05
-141,5.55937754667969e-05
-140,3.3395484208292e-05
-139,4.04129753047695e-06
-138,3.17616453737665e-06
-137,1.67352427108148e-07
-136,1.67054797512716e-05
-135,5.10096773321524e-05
-134,6.42939594294016e-05
-133,3.69957288566643e-05
-132,1.90963334282727e-06
-131,1.63185021779013e-05
-130,1.40190914477296e-05
-129,2.97500661884999e-05
-128,6.56435592106904e-05
-127,8.11295176205473e-05
-126,5.0755977244763e-05
-125,3.64191188330322e-06
-124,1.67852408483183e-05
-123,1.37061691243276e-05
-122,2.62128059068273e-05
-121,6.27073485881816e-05
-120,8.10514607718491e-05
-119,4.90178655186591e-05
-118,4.96145154448747e-06
-117,2.95848966992019e-05
-116,2.24601669730323e-05
-115,2.74976522507707e-05
-114,6.1080607525099e-05
-113,8.03547625922944e-05
-112,4.54225978798778e-05
-111,1.68969347407047e-05
-110,4.66994265139122e-05
-109,3.46880556463065e-05
-108,2.99386978494143e-05
-107,5.87685883614121e-05
-106,7.86394842254847e-05
-105,4.08790949148058e-05
-104,3.0534987256513e-05
-103,6.62731980574949e-05
-102,4.84071685220392e-05
-101,3.14032025439247e-05
-100,5.3784335888601e-05
-99,7.45715498765419e-05
-98,3.48747661800357e-05
-97,4.58941663080211e-05
-96,8.81368088187042e-05
-95,6.3125933433177e-05
-94,3.08567223752617e-05
-93,4.48430134837713e-05
-92,6.72799038895016e-05
-91,2.72187003737683e-05
-90,6.28695193841113e-05
-89,0.000112232319512386
-88,7.85479793492017e-05
-87,2.73381557877053e-05
-86,3.06161924680778e-05
-85,5.59286291851272e-05
-84,1.7908265430433e-05
-83,8.11966717128783e-05
-82,0.000138529830208899
-81,9.44480874718441e-05
-80,1.97448327760737e-05
-79,9.47055665575702e-06
-78,3.95519573732312e-05
-77,7.12397668756205e-06
-76,0.000100404351155427
-75,0.000167042056388196
-74,0.000110681589447288
-73,6.68525969073205e-06
-72,2.08021879732086e-05
-71,1.6894663971492e-05
-70,4.70473590154251e-06
-69,0.000119707596224034
-68,0.000197876824588369
-67,0.000127260566614984
-66,1.3723809871192e-05
-65,6.3427679134044e-05
-64,1.38378086842584e-05
-63,1.67322115643037e-05
-62,0.000137778338848185
-61,0.000231348729733401
-60,0.000144543875930554
-59,4.42158574654934e-05
-58,0.00012350524648605
-57,5.54491802920202e-05
-56,2.72916581085645e-05
-55,0.000152221293501362
-54,0.000268245394386219
-53,0.000163739806160946
-52,8.90866467861296e-05
-51,0.00020989393895446
-50,0.000112750534292648
-49,3.27752439106504e-05
-48,0.00015819902428771
-47,0.000310636072584166
-46,0.000188549532523354
-45,0.000155803475431263
-44,0.000340282449958665
-43,0.000195098112060593
-42,2.35060935761859e-05
-41,0.000143589919795054
-40,0.000365621568192748
-39,0.000233561193516814
-38,0.000259706366829455
-37,0.000564102142270124
-36,0.000328363186838
-35,5.2622248991288e-05
-34,2.07551146478428e-05
-33,0.000647249273349502
-32,0.000228012259323153
-31,0.0006055859746506
-30,0.00085653832966096
-29,0.000314350787955985
-28,0.000121496159660031
-27,0.000199656607928783
-26,0.00063165157922349
-25,0.000166617386807052
-24,0.000934610104513772
-23,0.00133581123685501
-22,0.000553943111409073
-21,0.000229259107568469
-20,0.000100331865840067
-19,0.000762938008545649
-18,0.000110149682772312
-17,0.00170550860443076
-16,0.00249348405586438
-15,0.0010830804922302
-14,0.000651245524907758
-13,0.000318258711000035
-12,0.00106595298148246
-11,5.17693083825758e-05
-10,0.00421855278987856
-9,0.0066357948597171
-8,0.00303990257355307
-7,0.00302526916560657
-6,0.00318243932260567
-5,0.00266166712003796
-4,0.00131337856937683
-3,0.0357852124020647
-2,0.106844045961909
-1,0
0,0
1,0.352501790706991
2,0.0338926972983863
3,0.00230386117234742
4,0.00252388854802207
5,0.00348690342908821
6,0.00192098053677231
7,0.00440946341588501
8,0.00697096645749483
9,0.00363631510763698
10,0.000552058884483923
11,0.00128099913979831
12,0.00020012774705681
13,0.000347081161575198
14,0.00139753922904492
15,0.00250030061563011
16,0.00141314272917623
17,0.000410626497420426
18,0.000895355683638873
19,0.000160224269898511
20,0.000111728065050744
21,0.000669549102032459
22,0.00130117082677115
23,0.000745733047563548
24,0.000355914171456098
25,0.000712738527439431
26,0.000221668689321143
27,7.20768704979371e-05
28,0.000364418516375019
29,0.000810184539421339
30,0.000456636258366293
31,0.000356556552118207
32,0.000635834381729456
33,0.000126600237290012
34,9.23961999984716e-05
35,0.000324930048062869
36,0.000537520117248399
37,0.000172147844149801
38,0.000331969617991993
39,0.00040923619577279
40,0.000134802234269513
41,8.8997333382337e-06
42,0.000187134210188116
43,0.000307067431361098
44,8.46440164518785e-05
45,0.000258459437425009
46,0.00033525005179248
47,0.000141860116376807
48,1.10160298164417e-05
49,9.72414189616887e-05
50,0.000179483279903019
51,3.45817319791218e-05
52,0.00021403913691644
53,0.000281317965722901
54,0.000131140031421348
55,8.9691183870992e-07
56,3.62718513984876e-05
57,9.74875206800389e-05
58,3.35339220024671e-06
59,0.000180146004539316
60,0.000236211436998371
61,0.000113852490179659
62,1.1889089755541e-05
63,6.42908950047056e-06
64,4.2209611415983e-05
65,1.5950383043569e-05
66,0.000151442548775394
67,0.000196707476442239
68,9.43564773657709e-05
69,2.438117279539e-05
70,3.66118204468099e-05
71,4.37807872978726e-06
72,2.70933791998242e-05
73,0.000125834637808835
74,0.000161454820888842
75,7.47177388537315e-05
76,3.54245500805323e-05
77,5.76848475265521e-05
78,2.13009224687044e-05
79,3.24367232189877e-05
80,0.000102420342931881
81,0.000129788413701691
82,5.60146477695687e-05
83,4.45507340004139e-05
84,7.18450262229629e-05
85,3.81605014495226e-05
86,3.36027053197334e-05
87,8.08198877293792e-05
88,0.000101346249593593
89,3.88278747596302e-05
90,5.16154999124079e-05
91,8.06274571529547e-05
92,4.8470901616442e-05
93,3.17865772104347e-05
94,6.0901324304275e-05
95,7.59050713009956e-05
96,2.34469270568833e-05
97,5.66658579885486e-05
98,8.52004236573503e-05
99,5.38948284681246e-05
100,2.79227849902577e-05
101,4.26503585439303e-05
102,5.32908206331601e-05
103,9.95294032805067e-06
104,5.99035967648421e-05
105,8.65519646141778e-05
106,5.57547636025823e-05
107,2.27906978302676e-05
108,2.61005463545873e-05
109,3.33058601142808e-05
110,1.78701483737439e-06
111,6.17383101091828e-05
112,8.56782021780556e-05
113,5.52619260981033e-05
114,1.71238062770989e-05
115,1.12833222967873e-05
116,1.5587386486775e-05
117,1.23332403861595e-05
118,6.31385959084863e-05
119,8.4090121517991e-05
120,5.40368361867717e-05
121,1.18874300590375e-05
122,2.02057586467653e-06
123,1.50556027841064e-06
124,2.51553576969473e-05
125,7.01949848709996e-05
126,9.13070811686657e-05
127,6.5453841495788e-05
128,2.44830052541876e-05
129,7.91498974613069e-06
130,8.50423691867819e-06
131,8.86285330953942e-06
132,4.69206272483906e-05
133,6.73068494014857e-05
134,4.59821029399772e-05
135,8.46623875878862e-06
136,7.31859197498864e-06
137,3.46634444354145e-06
138,1.19214596922365e-05
