0.999999999999998,0.999999999999998,0.999999999999997,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,0.999999999999999,1,0.999999999999996,0.999999999999999,0.999999999999998,1,0.999999999999998,0.999999999999999,1,0.999999999999999,1,1,0.999999999999999,1,0.999999999999998,0.999999999999998,0.999999999999997,1,1,0.999999999999998,1,0.999999999999998,0.999999999999996,1,0.999999999999999,0.999999999999998,0.999999999999997,1,1,0.999999999999998,1,0.999999999999997,0.999999999999999,1,1,0.999999999999999,1,1,1,0.999999999999996,0.999999999999992,1,1,1,1,1,0.999999999999999,1,0.999999999999998,0.999999999999998,0.999999999999999,1,0.999999999999999,1,0.999999999999998,0.999999999999996,0.999999999999999,1,0.999999999999999,1,1,0.999999999999998,1,1,1,1,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999997,1,0.999999999999999,1,1,1,0.999999999999998,1,1,1,0.999999999999999,1,1,1,1,1,0.999999999999999,0.999999999999998,1,1,0.999999999999998,1,1,1,1,0.999999999999999,1,0.999999999999997,0.999999999999996,1,1,1,1,1,1,0.999999999999998,1,0.999999999999998,0.999999999999999,1,1,0.999999999999999,1,0.999999999999999,1,0.999999999999998,1,1,1,1,1,1,0.999999999999999,1,1,0.999999999999999,1,0.999999999999998,1,1,1,1,0.999999999999998
1,1,0.999999999999999,1,1,0.999999999999999,1,1,1,1,0.999999999999999,0.999999999999998,0.999999999999999,1,1,1,1,0.999999999999999,0.999999999999998,1,1,1,1,0.999999999999999,0.999999999999999,0.999999999999997,0.999999999999998,1,1,1,1,0.999999999999997,1,1,1,1,0.999999999999997,1,0.999999999999998,0.999999999999999,0.999999999999999,1,1,0.999999999999998,1,0.999999999999999,0.999999999999999,1,0.999999999999997,1,0.999999999999999,0.999999999999998,1,0.999999999999997,1,1,1,1,1,1,0.999999999999999,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999999,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,0.999999999999999,1,0.999999999999998,0.999999999999996,0.999999999999999,0.999999999999999,0.999999999999994,1,1,0.999999999999999,1,0.999999999999999,0.999999999999999,1,1,0.999999999999996,1,1,0.999999999999998,1,1,1,1,1,1,0.999999999999998,1,1,1,1,1,1,0.999999999999996,1,1,0.999999999999999,0.999999999999998,0.999999999999998,1,1,1,1,1,0.999999999999999,1,0.999999999999998,1,1,1,1,1,0.999999999999998,1,0.999999999999998,1,1
1,0.999999999999999,0.999999999999998,1,1,1,1,0.999999999999999,0.999999999999997,0.999999999999999,1,1,1,1,0.999999999999998,1,1,0.999999999999999,1,1,0.999999999999997,1,1,1,1,0.999999999999998,1,0.999999999999999,0.999999999999999,0.999999999999998,1,1,0.999999999999999,1,1,0.999999999999999,1,0.999999999999998,1,1,1,0.999999999999999,1,0.999999999999998,0.999999999999998,0.999999999999999,0.999999999999999,1,1,0.999999999999996,1,1,0.999999999999999,0.999999999999996,1,0.999999999999999,1,1,1,1,0.999999999999998,0.999999999999997,1,1,1,1,0.999999999999998,0.999999999999997,1,0.999999999999998,0.999999999999999,1,0.999999999999999,1,1,1,1,0.999999999999999,1,1,1,1,0.999999999999998,1,1,1,0.999999999999997,1,1,1,0.999999999999999,1,0.999999999999997,0.999999999999998,1,0.999999999999998,0.999999999999994,1,0.999999999999999,0.999999999999998,1,1,1,1,1,0.999999999999998,0.999999999999999,1,1,1,0.999999999999997,1,0.999999999999997,0.999999999999999,0.999999999999998,1,1,0.999999999999999,0.999999999999996,1,1,0.999999999999999,1,1,1,1,1,0.999999999999998,0.999999999999999,1,0.999999999999999,1,0.999999999999997,1,0.999999999999997,1,1,1,0.999999999999999,0.999999999999998,1,1,0.999999999999997,1,0.999999999999999
0.999999999999999,1,0.999999999999999,0.999999999999999,1,1,1,0.999999999999997,0.999999999999999,0.999999999999999,1,0.999999999999999,1,0.999999999999998,1,1,0.999999999999999,1,0.999999999999998,1,0.999999999999999,1,1,1,0.999999999999998,1,1,1,1,1,1,1,0.999999999999999,0.999999999999998,1,0.999999999999999,1,0.999999999999999,0.999999999999999,0.999999999999998,1,1,1,1,1,1,1,0.999999999999997,1,0.999999999999998,1,0.999999999999997,1,0.999999999999997,0.999999999999902,0.999999999999998,1,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999997,1,0.999999999999999,1,0.999999999999999,1,1,0.999999999999999,0.999999999999998,1,1,0.999999999999999,0.999999999999999,1,1,0.999999999999999,1,1,1,0.999999999999999,1,1,0.999999999999999,1,1,0.999999999999999,1,0.999999999999998,0.999999999999999,1,1,1,1,1,1,0.999999999999996,1,0.999999999999999,1,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999999,0.999999999999998,1,1,0.999999999999999,1,0.999999999999999,0.999999999999997,0.999999999999998,1,1,1,1,0.999999999999999,1,0.999999999999998,1,0.999999999999998,0.999999999999999,1,1,1,0.999999999999999,0.999999999999997,1,0.999999999999999,1,0.999999999999999,1,0.999999999999998,1,0.999999999999998,1,1,1,1
1,1,0.999999999999998,1,0.999999999999999,1,1,0.999999999999998,1,0.999999999999998,1,1,0.999999999999998,0.999999999999998,0.999999999999999,1,0.999999999999998,0.999999999999997,0.999999999999998,0.999999999999998,1,1,0.999999999999998,0.999999999999999,1,1,0.999999999999996,0.999999999999999,1,1,1,1,0.999999999999999,0.999999999999998,1,1,1,1,0.999999999999999,1,1,0.999999999999999,0.999999999999998,0.999999999999997,0.999999999999999,0.999999999999999,1,0.999999999999996,1,0.999999999999999,1,0.999999999999999,1,1,1,0.999999999999979,1,1,1,1,0.999999999999998,1,1,1,0.999999999999999,0.999999999999999,1,0.999999999999999,1,1,1,1,0.999999999999998,1,1,0.999999999999999,1,0.999999999999996,1,1,0.999999999999998,1,1,0.999999999999999,1,0.999999999999998,1,0.999999999999996,1,1,1,0.999999999999996,0.999999999999997,1,1,1,1,1,1,1,1,1,0.999999999999998,0.999999999999998,1,0.999999999999999,0.999999999999999,1,0.999999999999999,0.999999999999997,0.999999999999999,1,1,0.999999999999999,0.999999999999997,1,0.999999999999998,1,1,1,0.999999999999999,0.999999999999999,1,1,1,1,1,1,0.999999999999998,1,0.999999999999997,0.999999999999998,0.999999999999999,1,1,1,1,1,1,0.999999999999998,1,1,1,1,0.999999999999999
1,0.999999999999998,0.999999999999998,1,1,1,0.999999999999998,0.999999999999998,1,1,1,1,0.999999999999998,0.999999999999996,1,1,1,1,0.999999999999999,1,1,1,0.999999999999995,1,0.999999999999998,1,0.999999999999999,1,1,1,1,1,1,1,1,1,1,0.999999999999998,1,1,0.999999999999995,1,1,1,0.999999999999998,1,0.999999999999999,1,0.999999999999998,0.999999999999999,1,1,0.999999999999998,1,1,0.999999999999998,1,1,0.999999999999997,0.999999999999998,1,1,1,0.999999999999999,1,0.999999999999997,1,0.999999999999998,0.999999999999999,1,1,0.999999999999998,0.999999999999998,0.999999999999999,1,1,1,1,1,1,0.999999999999997,1,1,0.999999999999997,0.999999999999999,0.999999999999998,1,1,1,0.999999999999999,1,1,0.999999999999999,1,1,0.999999999999998,1,1,1,0.999999999999999,1,1,1,1,1,1,1,1,1,1,0.999999999999998,1,0.999999999999998,0.999999999999997,0.999999999999999,1,1,1,1,0.999999999999998,1,1,1,0.999999999999998,1,0.999999999999999,1,1,1,1,0.999999999999999,1,0.999999999999999,0.999999999999999,1,0.999999999999997,0.999999999999999,0.999999999999997,1,1,0.999999999999999,1,0.999999999999999,0.999999999999999,1
1,0.999999999999997,1,1,1,1,1,0.999999999999999,1,1,1,0.999999999999998,1,0.999999999999998,0.999999999999998,1,0.999999999999997,1,1,0.999999999999999,0.999999999999998,0.999999999999995,0.999999999999998,0.999999999999996,1,0.999999999999999,1,0.999999999999999,0.999999999999999,1,0.999999999999999,0.999999999999999,1,0.999999999999999,0.999999999999999,1,1,0.999999999999996,1,1,1,0.999999999999998,0.999999999999998,0.999999999999998,1,0.999999999999999,1,1,0.999999999999999,1,1,0.999999999999997,1,0.999999999999998,0.999999999999998,0.999999999999999,1,1,1,1,0.999999999999999,1,1,0.999999999999998,1,0.999999999999999,1,1,1,1,0.999999999999998,1,1,1,0.999999999999998,0.999999999999996,1,1,0.999999999999997,0.999999999999999,1,0.999999999999998,1,1,0.999999999999999,1,0.999999999999999,1,0.999999999999999,0.999999999999999,1,1,1,0.999999999999999,0.999999999999997,0.999999999999998,1,1,1,0.999999999999996,0.999999999999999,1,1,1,0.999999999999999,1,1,0.999999999999996,1,0.999999999999999,1,1,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999997,1,0.999999999999997,1,1,1,1,1,0.999999999999999,0.999999999999997,1,0.999999999999998,1,1,1,1,1,1,1,1,0.999999999999999,1,0.999999999999999,0.999999999999998,0.999999999999997,1,1,1,1,1
0.999999999999999,1,1,1,1,1,0.999999999999998,1,1,0.999999999999998,1,1,0.999999999999999,1,1,0.999999999999996,1,1,1,1,1,1,1,1,1,1,1,0.999999999999999,1,0.999999999999998,0.999999999999999,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999999,1,1,1,0.999999999999997,1,1,0.999999999999998,1,1,1.00000000000001,0.999999999999998,1,0.999999999999998,1,1,0.999999999999997,1,1,0.999999999999999,0.999999999999998,0.999999999999999,0.999999999999999,1,1,0.999999999999998,0.999999999999996,1,0.999999999999996,1,1,1,1,1,0.999999999999999,0.999999999999998,1,1,0.999999999999999,0.999999999999998,1,1,1,0.999999999999998,1,1,0.999999999999997,0.999999999999999,1,0.999999999999999,1,1,1,1,1,1,1,1,1,0.999999999999999,0.999999999999998,0.999999999999998,1,0.999999999999998,1,1,1,0.999999999999999,0.999999999999997,0.999999999999999,0.999999999999999,1,1,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999998,1,0.999999999999998,1,1,1,1,0.999999999999998,1,0.999999999999998,1,0.999999999999999,1,1,1,1,0.999999999999998,0.999999999999999,0.999999999999999,0.999999999999998,0.999999999999999,1
1,1,0.999999999999999,1,1,1,1,1,0.999999999999999,0.999999999999998,0.999999999999999,1,0.999999999999998,1,0.999999999999999,1,0.999999999999998,1,1,0.999999999999997,1,0.999999999999999,1,1,0.999999999999998,1,0.999999999999999,1,0.999999999999999,1,0.999999999999999,1,1,1,0.999999999999999,0.999999999999999,0.999999999999998,1,1,0.999999999999998,1,1,1,0.999999999999998,1,1,0.999999999999999,1,1,1,1,1,1,1,1,1,0.999999999999998,1,1,1,1,0.999999999999999,1,1,0.999999999999999,0.999999999999998,1,1,0.999999999999998,0.999999999999996,1,1,0.999999999999998,1,0.999999999999999,1,1,1,1,1,0.999999999999999,1,0.999999999999997,0.999999999999998,0.999999999999999,1,1,1,0.999999999999998,1,1,1,1,1,1,1,1,1,1,0.999999999999996,0.999999999999998,1,0.999999999999998,1,0.999999999999998,0.999999999999999,1,0.999999999999998,1,1,0.999999999999998,1,1,1,1,1,1,1,0.999999999999999,1,1,1,0.999999999999999,1,0.999999999999999,1,1,1,1,1,0.999999999999997,1,1,1,1,1,1,1,0.999999999999998,1,1,1,1,1,0.999999999999996
1,1,1,0.999999999999999,0.999999999999999,0.999999999999999,1,0.999999999999999,1,0.999999999999999,0.999999999999997,1,0.999999999999998,1,1,1,0.999999999999998,1,1,1,1,1,1,1,0.999999999999999,1,1,0.999999999999998,1,0.999999999999998,0.999999999999998,1,0.999999999999999,1,0.999999999999997,1,1,1,1,0.999999999999998,0.999999999999999,1,0.999999999999997,0.999999999999999,1,1,0.999999999999998,1,1,1,1,1,1,1,0.999999999999999,1,1,0.999999999999998,1,0.999999999999986,1,0.999999999999998,0.999999999999999,0.999999999999998,1,1,0.999999999999999,1,0.999999999999999,0.999999999999999,1,0.999999999999999,0.999999999999998,0.999999999999997,1,0.999999999999997,1,1,1,0.999999999999999,1,1,0.999999999999999,1,1,0.999999999999999,0.999999999999998,0.999999999999999,1,0.999999999999999,1,0.999999999999999,1,1,1,1,1,1,1,0.999999999999999,1,1,0.999999999999998,1,1,1,0.999999999999997,1,0.999999999999998,1,1,0.999999999999998,0.999999999999998,0.999999999999999,1,0.999999999999999,1,1,1,1,1,1,1,0.999999999999999,1,1,0.999999999999997,0.999999999999998,0.999999999999999,1,1,0.999999999999996,0.999999999999998,1,1,1,1,0.999999999999999,1,0.999999999999997,0.999999999999999,0.999999999999998,0.999999999999999,1,1
