H_over_a,strict_BIC,nonzero_RA_control
0,0,0
0.0666666666666667,0.00704574118044598,0.00721240784711265
0.133333333333333,0.0111970714340324,0.0115304047673658
0.2,0.0137106077331226,0.0142106077331226
0.266666666666667,0.0152480321472384,0.0159146988139051
0.333333333333333,0.016192091338606,0.0170254246719394
0.4,0.0167726753671342,0.0177726753671342
0.466666666666667,0.0171299395731166,0.0182966062397833
0.533333333333333,0.0173498346418756,0.0186831679752089
0.6,0.017485191867684,0.018985191867684
0.666666666666667,0.0175685145326432,0.0192351811993099
0.733333333333333,0.0176198067026587,0.0194531400359921
0.8,0.0176513815637034,0.0196513815637034
0.866666666666667,0.0176708187229215,0.0198374853895881
0.933333333333333,0.0176827840484785,0.0200161173818118
1,0.0176901497887103,0.0201901497887103
1.06666666666667,0.0176946840687344,0.0203613507354011
1.13333333333333,0.017697475328786,0.0205308086621194
1.2,0.0176991936022061,0.0206991936022061
1.26666666666667,0.0177002513551624,0.0208669180218291
1.33333333333333,0.0177009024979359,0.0210342358312693
1.4,0.0177013033353049,0.0212013033353049
1.46666666666667,0.0177015500870205,0.0213682167536872
1.53333333333333,0.0177017019850567,0.02153503531839
1.6,0.0177017954920596,0.0217017954920596
1.66666666666667,0.0177018530540914,0.0218685197207581
1.73333333333333,0.017701888488737,0.0220352218220704
1.8,0.0177019103019717,0.0222019103019717
1.86666666666667,0.0177019237299939,0.0223685903966605
1.93333333333333,0.0177019319961581,0.0225352653294914
2,0.017701937084731,0.0227019370847311
2.06666666666667,0.0177019402172087,0.0228686068838754
2.13333333333333,0.0177019421455325,0.0230352754788659
2.2,0.0177019433325905,0.0232019433325905
2.26666666666667,0.0177019440633323,0.0233686107299989
2.33333333333333,0.01770194451317,0.0235352778465034
2.4,0.0177019447900859,0.0237019447900859
2.46666666666667,0.0177019449605527,0.0238686116272194
2.53333333333333,0.0177019450654905,0.0240352783988238
2.6,0.0177019451300892,0.0242019451300892
2.66666666666667,0.0177019451698556,0.0243686118365222
2.73333333333333,0.0177019451943354,0.0245352785276687
2.8,0.0177019452094049,0.0247019452094049
2.86666666666667,0.0177019452186816,0.0248686118853482
2.93333333333333,0.0177019452243922,0.0250352785577255
3,0.0177019452279076,0.0252019452279076
3.06666666666667,0.0177019452300716,0.0253686118967383
3.13333333333333,0.0177019452314038,0.0255352785647371
3.2,0.0177019452322239,0.0257019452322239
3.26666666666667,0.0177019452327287,0.0258686118993954
3.33333333333333,0.0177019452330395,0.0260352785663728
3.4,0.0177019452332308,0.0262019452332308
3.46666666666667,0.0177019452333485,0.0263686119000152
3.53333333333333,0.017701945233421,0.0265352785667544
3.6,0.0177019452334657,0.0267019452334657
3.66666666666667,0.0177019452334931,0.0268686119001598
3.73333333333333,0.0177019452335101,0.0270352785668434
3.8,0.0177019452335205,0.0272019452335205
3.86666666666667,0.0177019452335269,0.0273686119001935
3.93333333333333,0.0177019452335308,0.0275352785668642
4,0.0177019452335332,0.0277019452335333
4.06666666666667,0.0177019452335347,0.0278686119002014
4.13333333333333,0.0177019452335357,0.028035278566869
4.2,0.0177019452335362,0.0282019452335362
4.26666666666667,0.0177019452335366,0.0283686119002032
4.33333333333333,0.0177019452335368,0.0285352785668701
4.4,0.0177019452335369,0.0287019452335369
4.46666666666667,0.017701945233537,0.0288686119002037
4.53333333333333,0.0177019452335371,0.0290352785668704
4.6,0.0177019452335371,0.0292019452335371
4.66666666666667,0.0177019452335371,0.0293686119002038
4.73333333333333,0.0177019452335371,0.0295352785668705
4.8,0.0177019452335371,0.0297019452335371
4.86666666666667,0.0177019452335371,0.0298686119002038
4.93333333333333,0.0177019452335371,0.0300352785668705
5,0.0177019452335371,0.0302019452335371
5.06666666666667,0.0177019452335371,0.0303686119002038
5.13333333333333,0.0177019452335371,0.0305352785668705
5.2,0.0177019452335371,0.0307019452335371
5.26666666666667,0.0177019452335371,0.0308686119002038
