deltaKappa,kappa,Omega,thetaDeg,sigmaRelative,rawResidual
-0.0004,0.0834486965529006,0.916551303447099,5.22380856112624,0.00305447945359885,0.0518165609956341
-0.000395,0.0834536965529006,0.916546303447099,5.22415100476132,0.00301612029566426,0.0511807483876891
-0.00039,0.0834586965529006,0.916541303447099,5.22449345231981,0.00297776567967429,0.0505446136552077
-0.000385,0.0834636965529006,0.916536303447099,5.22483590380177,0.00293941560442529,0.0499081575294914
-0.00038,0.0834686965529006,0.916531303447099,5.22517835920729,0.00290107006871248,0.0492713807457072
-0.000375,0.0834736965529006,0.916526303447099,5.22552081853644,0.00286272907133388,0.0486342840430601
-0.00037,0.0834786965529006,0.916521303447099,5.22586328178931,0.00282439261108303,0.0479968681645411
-0.000365,0.0834836965529006,0.916516303447099,5.22620574896598,0.00278606068675602,0.0473591338572628
-0.00036,0.0834886965529006,0.916511303447099,5.22654822006653,0.00274773329715016,0.0467210818721801
-0.000355,0.0834936965529006,0.916506303447099,5.22689069509103,0.00270941044105817,0.0460827129642045
-0.00035,0.0834986965529006,0.916501303447099,5.22723317403957,0.00267109211727345,0.0454440278921516
-0.000345,0.0835036965529006,0.916496303447099,5.22757565691222,0.00263277832458922,0.0448050274188657
-0.00034,0.0835086965529006,0.916491303447099,5.22791814370907,0.00259446906180531,0.0441657123111708
-0.000335,0.0835136965529006,0.916486303447099,5.2282606344302,0.00255616432770718,0.0435260833397119
-0.00033,0.0835186965529006,0.916481303447099,5.22860312907568,0.00251786412109141,0.0428861412792001
-0.000325,0.0835236965529006,0.916476303447099,5.2289456276456,0.00247956844075181,0.042245886908326
-0.00032,0.0835286965529006,0.916471303447099,5.22928813014003,0.00244127728547723,0.0416053210096765
-0.000315,0.0835336965529006,0.916466303447099,5.22963063655906,0.00240299065406247,0.040964444369849
-0.00031,0.0835386965529006,0.916461303447099,5.22997314690276,0.00236470854529798,0.0403232577794313
-0.000305,0.0835436965529006,0.916456303447099,5.23031566117122,0.00232643095797566,0.0396817620329244
-0.0003,0.0835486965529006,0.916451303447099,5.23065817936451,0.00228815789088546,0.0390399579288439
-0.000295,0.0835536965529006,0.916446303447099,5.23100070148272,0.00224988934281784,0.0383978462696781
-0.00029,0.0835586965529006,0.916441303447099,5.23134322752592,0.00221162531256341,0.0377554278619122
-0.000285,0.0835636965529006,0.916436303447099,5.23168575749419,0.00217336579891401,0.0371127035160283
-0.00028,0.0835686965529006,0.916431303447099,5.23202829138762,0.00213511080065665,0.0364696740464333
-0.000275,0.0835736965529006,0.916426303447099,5.23237082920628,0.00209686031658263,0.0358263402716001
-0.00027,0.0835786965529006,0.916421303447099,5.23271337095026,0.00205861434547982,0.0351827030139213
-0.000265,0.0835836965529006,0.916416303447099,5.23305591661963,0.002020372886138,0.0345387630998623
-0.00026,0.0835886965529006,0.916411303447099,5.23339846621448,0.00198213593734449,0.0338945213597652
-0.000255,0.0835936965529006,0.916406303447099,5.23374101973487,0.00194390349788843,0.0332499786280864
-0.00025,0.0835986965529006,0.916401303447099,5.2340835771809,0.00190567556655719,0.0326051357432272
-0.000245,0.0836036965529006,0.916396303447099,5.23442613855265,0.0018674521421387,0.0319599935475985
-0.00024,0.0836086965529006,0.916391303447099,5.23476870385018,0.00182923322342201,0.0313145528876492
-0.000235,0.0836136965529006,0.916386303447099,5.23511127307359,0.00179101880919004,0.0306688146137042
-0.00023,0.0836186965529006,0.916381303447099,5.23545384622296,0.00175280889823237,0.0300227795802674
-0.000225,0.0836236965529006,0.916376303447099,5.23579642329836,0.00171460348933617,0.0293764486457265
-0.00022,0.0836286965529006,0.916371303447099,5.23613900429986,0.00167640258128687,0.0287298226725743
-0.000215,0.0836336965529006,0.916366303447099,5.23648158922756,0.00163820617287189,0.0280829025272258
-0.00021,0.0836386965529006,0.916361303447099,5.23682417808154,0.00160001426287338,0.0274356890800956
-0.000205,0.0836436965529006,0.916356303447099,5.23716677086186,0.00156182685008093,0.0267881832057363
-0.0002,0.0836486965529006,0.916351303447099,5.23750936756862,0.00152364393327595,0.0261403857825774
-0.000195,0.0836536965529006,0.916346303447099,5.23785196820189,0.0014854655112465,0.0254922976931419
-0.00019,0.0836586965529006,0.916341303447099,5.23819457276176,0.00144729158277639,0.0248439198239691
-0.000185,0.0836636965529006,0.916336303447099,5.23853718124829,0.00140912214664912,0.0241952530655406
