state,theta_deg,frequency_hz,condition_number,energy_error,eta_m1,eta_0,eta_other
1,0,178780.3005,20712199.4226105,2.66453525910038e-15,0,1,0
2,7.09966291282572,180000.1,23320440.6677265,1.55431223447522e-15,3.07371780299083e-07,0.999999692628221,6.23599420054009e-17
3,10.05404,180498.322,262574.496563148,5.10702591327572e-15,0.349176353419791,0.650823646580214,-5.55111512312578e-17
