kappa,Omega_real,Omega_imag,Q,a_large_real,a_large_imag,a_small_real,a_small_imag,d0_large_real,d0_large_imag,d0_small_real,d0_small_imag,dm1_large_real,dm1_large_imag,dm1_small_real,dm1_small_imag,basis_fidelity_large,basis_fidelity_small,b0_large_real,b0_large_imag,b0_small_real,b0_small_imag,b0_sum_real,b0_sum_imag,b0_sum_abs,bm1_large_real,bm1_large_imag,bm1_small_real,bm1_small_imag,bm1_sum_real,bm1_sum_imag,bm1_sum_abs,radiation_sigma_ratio,dark_state_misalignment,b0_normalized_residual,bm1_normalized_residual
0.0880001053118085,0.888569028468247,5.66927060912482e-07,783671.383615095,0.467251146200328,-0.0228436502217761,0.469977828193458,0.0076303378054923,0.212728069709722,-0.0171551180212963,-0.204843485315593,0.0308736263806326,0.154915584603433,0.149934265376026,-0.159809739359895,-0.134580858695651,0.99953812701132,0.999767136853737,0.0953581409815922,-0.0118960737372439,-0.0963229642133238,0.0129258660281097,-0.000964823231731637,0.00102979229086583,0.0014111541484954,0.0776948873456691,0.0676362338637823,-0.0744669208125865,-0.0648168827735777,0.00322796653308254,0.00281935109020458,0.00428584980004417,0.000401841572225254,0.000170875083593258,0.00730094835410054,0.0212449402460743
0.0883880682747715,0.888595366014347,5.49684855208869e-07,808277.104229749,0.466606638697598,-0.022411619973174,0.470247603856487,0.00749371289835438,0.21298361076928,-0.016985168453838,-0.204917709203416,0.0304431684561206,0.154965538528314,0.150249394469506,-0.159537427885001,-0.134927374856593,0.999561764088093,0.99977734576356,0.0954583154435092,-0.0117482033473784,-0.0964093793831244,0.0127599643999594,-0.000951063939615221,0.00101176105258103,0.00138859030846261,0.0775078812100037,0.0677194021100017,-0.0743885955110601,-0.0649852742685356,0.0031192856989436,0.00273412784146612,0.00414793904549166,0.000408500922439663,0.00015938564774276,0.00717882439403778,0.0205648479305422
0.0887760312377344,0.888621671286299,5.32601303016026e-07,834227.841965643,0.465967661935939,-0.0219807707079138,0.470513961719944,0.00735724149121025,0.213239392022235,-0.0168148073386905,-0.204991011163703,0.0300125321704053,0.155015095405244,0.150564772633105,-0.159264353055142,-0.135273330398917,0.999584504553187,0.999787239233032,0.0955576193619353,-0.0115999138359807,-0.0964948045236711,0.0125936239311105,-0.000937185161735715,0.000993710095129767,0.00136593403227989,0.0773221619045433,0.0678034144412797,-0.0743093958003396,-0.0651532522322443,0.00301276610420367,0.00265016220903543,0.00401249539972797,0.00041475707837115,0.000148513677021289,0.00705645586642026,0.0198966322407348
0.0891639942006974,0.888647943797676,5.15682544764518e-07,861623.059399334,0.465334171163654,-0.0215510897803811,0.470776945318859,0.00722092404178032,0.213495411509915,-0.0166440336422666,-0.205063390517743,0.0295817194947289,0.155064249104461,0.15088039404714,-0.158990515857858,-0.135618723460992,0.999606371977537,0.999796824287793,0.095656059656387,-0.0114512103206733,-0.0965792467647456,0.012426850716209,-0.000923187108358536,0.00097564039553571,0.00134318599547511,0.077137713999574,0.0678882680804308,-0.0742293298769303,-0.0653208177784901,0.00290838412264371,0.00256745030194069,0.0038794972944676,0.00042060401711353,0.000138233665753718,0.00693384358386464,0.0192402051100679
0.0895519571636604,0.888674183069367,4.98934679741553e-07,890571.671155128,0.464706122421308,-0.0211225646652743,0.471036597319247,0.00708476096308272,0.21375166727088,-0.0164728463364571,-0.205134846594574,0.0291507324040077,0.155112993551474,0.151196252906003,-0.158715917288523,-0.135963552184369,0.999627389508512,0.999806107782224,0.0957536430998859,-0.0113020978458211,-0.0966627130858576,0.0122596507652022,-0.000909069985971706,0.000957552919381077,0.00132034686079447,0.0769545223379805,0.0679739603903969,-0.0741484057910007,-0.0654879719701827,0.00280611654697983,0.00248598842021421,0.00374892364561792,0.000426035812325898,0.000128520909035812,0.00681098833628828,0.018595480286923
0.0899399201266233,0.888700388629475,4.82363765763427e-07,921193.14478664,0.464083472549041,-0.0206951829562449,0.471292959528723,0.00694875262480582,0.214008157340808,-0.0163012443986287,-0.205205378730947,0.0287195728767784,0.155161322726404,0.151512343417818,-0.158440558350291,-0.136307814713794,0.999647579875884,0.99981509640437,0.0958503763205399,-0.0111525813841599,-0.0967452103178337,0.0120920300051192,-0.000894833997293801,0.000939448620959389,0.00129741727834005,0.0767725720362905,0.0680604888782566,-0.0740666314486623,-0.0656547158194551,0.00270594058762819,0.00240577305880145,0.0036207538544105,0.000431046632566677,0.000119351481669416,0.00668789089072398,0.0179623733525413
0.0903278830895863,0.888726560013208,4.65975818860024e-07,953618.754496116,0.463466179194672,-0.02026893236453,0.471546072906485,0.00681289935462281,0.214264879752393,-0.0161292268116236,-0.205274986271296,0.0282882428951448,0.15520923066334,0.151828659804096,-0.158164440054033,-0.136651509197215,0.999666965397721,0.999823796680719,0.0959462658030098,-0.0110026658384074,-0.096826745144285,0.0119239942818224,-0.000880479341275289,0.000921328443414969,0.0012743978856927,0.0765918484859942,0.0681478511995407,-0.0739840146141564,-0.0658210502877026,0.0026078338718378,0.00232680091183815,0.00349496780906997,0.000435630739710688,0.000110702217625103,0.00656455199107426,0.0173408017413148
0.0907158460525492,0.888752696762772,4.49776812973449e-07,987993.01245353,0.462854200822672,-0.0198438007175061,0.47179597757256,0.00667720143951603,0.214521832535225,-0.0159567925637586,-0.205343668567706,0.0278567444447261,0.155256711449673,0.152145196299376,-0.157887563418281,-0.136994633785794,0.999685567986227,0.999832214980843,0.0960413178898371,-0.0108523560428356,-0.0969073241029297,0.0117555493617119,-0.000866006213092588,0.000903193318876346,0.00125128930802506,0.0764123373551476,0.0682360451628794,-0.0739005629119214,-0.0659869762855511,0.00251177444322624,0.00224906887732822,0.00337154588706885,0.00043978248740514,0.000102550690038283,0.00644097235783048,0.0167306847637184
0.0911038090155122,0.888778798427263,4.33772679663228e-07,1024475.30710935,0.462247496724298,-0.0194197759573078,0.472042712816504,0.00654165912696275,0.214779013715672,-0.0157839406488245,-0.205411424979872,0.0274250795146039,0.155303759225419,0.15246194715084,-0.157609929469169,-0.137337186633916,0.999703409153531,0.999840357521876,0.096135538782662,-0.0107016567648338,-0.0969869535868055,0.0115867009334228,-0.00085141480414351,0.000885044168588988,0.00122809215821456,0.0762340245903427,0.0683250687350221,-0.0738162838285937,-0.0661524946727622,0.002417740761749,0.00217257406225992,0.00325046895801624,0.000443496319537582,9.48751917113633e-05,0.00631715268780454,0.0161319436321161
0.0914917719784752,0.888804864562565,4.1796930787033e-07,1063241.78333964,0.461646027028523,-0.0189968461392979,0.472286317105178,0.00640627262619675,0.215036421316753,-0.015610670066086,-0.205478254875073,0.0269932500972719,0.155350368182559,0.152778906617942,-0.157331539240375,-0.137679165899197,0.999720510017411,0.999848230372891,0.0962289345432736,-0.0105505727064292,-0.0970656398453023,0.0114174546094614,-0.000836705302028756,0.000866881903032185,0.00120480703693485,0.0760568964189723,0.0684149200462416,-0.0737311847148544,-0.0663176062580501,0.00232571170411788,0.0020973137881915,0.00313171838721318,0.00044676676878608,8.76547161173802e-05,0.00619309365376563,0.0155445014896165
0.0918797349414381,0.888830894731232,4.02372543685576e-07,1104487.50626706,0.461049752714595,-0.0185749994306237,0.472526828090038,0.00627104210932658,0.215294053358002,-0.0154369798202811,-0.205544157628127,0.0265612581885842,0.155396532564329,0.153096068971986,-0.157052393773063,-0.138020569742489,0.999736891306962,0.999855839459107,0.0963215110945545,-0.0103991085058026,-0.0971433889850936,0.011247815927841,-0.000821877890539058,0.00084870742203844,0.00118143453275248,0.0758809393519577,0.0685055973962054,-0.0736452727872245,-0.0664823117988409,0.00223566656473317,0.0020232855973645,0.00301527603996193,0.000449588455124489,8.08689388964723e-05,0.00606879590411409,0.0149682834423948
0.0922676979044011,0.88885688850239,3.86988190062974e-07,1148428.95897902,0.460458635625478,-0.0181542241086469,0.472764282613323,0.00613596771249861,0.215551907855334,-0.0152628689216219,-0.205609132621362,0.0261291057877055,0.155442246664539,0.15341342849572,-0.15677249411582,-0.138361396327892,0.999752573368205,0.999863190566004,0.0964132742212253,-0.0102472687387672,-0.0972202069708477,0.0110777903536625,-0.000806932749622458,0.000830521614895304,0.00115797522219673,0.0757061401868234,0.0685970992602887,-0.0735585551296853,-0.0666466120009137,0.00214758505713812,0.00195048725937505,0.00290112428665635,0.000451956084403395,7.44981998241911e-05,0.00594426006243314,0.0144032165956379
0.0926556608673641,0.88888284545162,3.71822006687901e-07,1195306.93377938,0.459872638483126,-0.0177345085594319,0.472998716713668,0.00600104953694505,0.215809982820893,-0.0150883363857948,-0.205673179244577,0.0256967948970614,0.155487504826851,0.153730979482889,-0.156491841324605,-0.138701643822755,0.999767576169647,0.999870289343296,0.0965042295704634,-0.010095057920241,-0.0972960996258206,0.0109073832806906,-0.000791870055357177,0.000812325360449659,0.0011344296698346,0.0755324860113058,0.0686894242964477,-0.0734710386952347,-0.0668105075179721,0.00206144731607107,0.00187891677847553,0.00278924600875818,0.00045386444689825,6.85234852489947e-05,0.00581948672707603,0.0138492300936128
