kappa,delta,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,A0_over_C,Am1_over_C,flux_0,flux_m1,ky_0_real,ky_0_imag,ky_m1_real,ky_m1_imag,is_m1_open,is_m1_threshold
0.0850001053118085,-0.025,0.888364334020864,7.04928105279808e-07,630109.884516694,1.23116203318966e-16,1.38319814072408e-13,0.0015897283338283,0.0220426435251959,2.51564119679669e-06,0,5.55614858449265,4.44960875213205e-06,-1.7953253441749e-05,-1.377058896312,0,0
0.0888826779731045,-0.021117427338704,0.888628896595069,5.27933841406693e-07,841610.090979673,2.83117325790181e-16,1.12659590123592e-13,0.00136654290585431,0.0175609537223358,1.85807467562716e-06,0,5.55542028517126,3.33382462321077e-06,-1.46519235050047e-05,-1.26405225448129,0,0
0.0921622758155908,-0.0178378294962177,0.888849828779537,3.91147271185854e-07,1136208.65369299,2.06330055044547e-16,1.22236077557277e-13,0.00117066837653028,0.0141092984951156,1.36307759604012e-06,0,5.55470587114993,2.47096939957768e-06,-1.18269802414658e-05,-1.16052516796671,0,0
0.0949325425811458,-0.0150675627306627,0.889034418023126,2.87511326631557e-07,1546085.90283891,3.46655387313677e-16,1.02233019566646e-13,0.00100025438112283,0.0114148967704626,9.94788414767323e-07,0,5.55403020431871,1.81687493095014e-06,-9.46938821291211e-06,-1.0656420475197,0,0
0.0972725788663631,-0.0127275264454453,0.88918877444811,2.10075474357442e-07,2116355.50786658,2.7301110410105e-16,1.13727521011882e-13,0.000852434238848738,0.00928300333900253,7.22283093415651e-07,0,5.55340719429451,1.32791275467122e-06,-7.53533765845547e-06,-0.978647617324972,0,0
0.0992492007152835,-0.010750904596525,0.88931797842012,1.52794740241229e-07,2910172.0943276,3.98229303030093e-16,1.0571772305939e-13,0.000724782656231082,0.00758030760274892,5.22028310333846e-07,0,5.55284322263605,9.66072681564549e-07,-5.96806832762775e-06,-0.898858700656307,0,0
0.10091884744611,-0.00908125786569823,0.889426239033628,1.10737907822717e-07,4015906.82233918,1.51213473769341e-13,3.21476248489454e-12,0.000615582565325724,0.00621639296767861,3.76494680862119e-07,0,5.55233969184731,7.00309406676235e-07,-4.70941059121887e-06,-0.825656552969218,0,0
0.102329193186892,-0.00767091212491665,0.889517040199461,8.00327623886783e-08,5557205.65959932,4.66695143793842e-14,9.97953629764978e-13,0.000522377618144482,0.00511636977652664,2.71066728322994e-07,0,5.55189485838874,5.06221496231646e-07,-3.70542227686067e-06,-0.758479955087724,0,0
0.103520508135028,-0.00647959717678043,0.889593266956256,5.77126577974557e-08,7707089.75211564,1.36992939511407e-14,3.15151645918021e-13,0.00044296686770881,0.00422403373712863,1.94886553985141e-07,0,5.55150511588398,3.65099765973906e-07,-2.90872226836232e-06,-0.696819094988176,0,0
0.104526808409219,-0.00547329690258928,0.889657311357734,4.15428690422013e-08,10707701.8495518,5.5883148264902e-15,1.56929687012804e-13,0.000375405578065877,0.00349659487382648,1.39953262436911e-07,0,5.55116587150685,2.6284200478568e-07,-2.2790633353429e-06,-0.640210188079384,0,0
