case_id,figure,order,paper_angle_deg,calculated_angle_deg,angle_error_deg,paper_abs_A,calculated_abs_A,amplitude_relative_error,paper_efficiency,calculated_efficiency,total_efficiency,energy_error
F2a,"Fig. 2(a), Fig. 3",-1,-81,-81,-2.8421709430404e-14,NaN,2.52821199655209,NaN,NaN,0.999906558254073,1,8.88178419700125e-16
F2b,"Fig. 2(b)",-1,-88,-88.0000000000002,-2.27373675443232e-13,NaN,5.34993727868221,NaN,NaN,0.998887422820658,1,4.44089209850063e-16
F2c,"Fig. 2(c), Fig. 4(c)",-1,-72,-72,-1.4210854715202e-14,1.5431,1.54074946718732,0.00152325371828314,NaN,0.733578199575431,1,2.22044604925031e-16
F2c,"Fig. 2(c), Fig. 4(c)",1,72,72,1.4210854715202e-14,0.9216,0.928516227885938,0.00750458754984609,NaN,0.266416648674243,1,2.22044604925031e-16
F2d,"Fig. 2(d), Fig. 4(b)",-1,-72,-72,-1.4210854715202e-14,1.2729,1.27229715231093,0.000473601766888762,NaN,0.500218183002801,0.999999999999998,1.99840144432528e-15
F2d,"Fig. 2(d), Fig. 4(b)",1,72,72,1.4210854715202e-14,1.2719,1.27174171419442,0.000124448310074318,NaN,0.499781524636485,0.999999999999998,1.99840144432528e-15
F4a,"Fig. 4(a)",1,72,72,1.4210854715202e-14,NaN,1.26822634989625,NaN,1,0.497022338762431,1,2.22044604925031e-16
F5,"Fig. 5, Fig. 6",-1,-28.4,-29.5935624624271,-1.19356246242706,0.7562,0.757390270712948,0.0015740157536996,0.503,0.498808923045404,0.999999999999996,3.77475828372553e-15
F5,"Fig. 5, Fig. 6",2,81,81,2.8421709430404e-14,1.7883,1.78892499012015,0.000349488408069391,0.5003,0.500629806646532,0.999999999999996,3.77475828372553e-15
