N,K,kappa,d_over_a,w_over_a,sigma_ratio,raw_residual,transverse_fraction
61,12,0.04,0.520777486021757,0.530941663665272,0.155274090656615,1.18549992482893,0.960135600838885
101,20,0.04,0.520806145733175,0.530749381723961,0.138046004844761,1.34875416964704,0.961035917775245
141,28,0.04,0.520812780221352,0.530696394906307,0.13093783250699,1.42977995686427,0.961268004398826
181,36,0.04,0.520815561329001,0.530689684713438,0.127056708086955,1.46603375471683,0.961324766248227
221,44,0.04,0.520817127714589,0.530693213725854,0.124588196790571,1.48399225409814,0.961341295749518
