point,theta_deg,Omega,kappa,A_m1_real,A_m1_imag,A_m1_abs,A_m1_phase_deg,A_0_real,A_0_imag,A_0_abs,A_0_phase_deg,A_p1_real,A_p1_imag,A_p1_abs,A_p1_phase_deg,eta_m1,eta_0,eta_p1,groove_surface_norm,condition_number
off-resonant reference,4.87250168284177,0.913463167379117,0.0775884024074408,-0.0042205869795533,-0.000662497247104801,0.0042722660327274,-171.079185313824,0.418367326279725,-0.908277920188284,1,-65.2684471881096,0.0211718193154033,-0.0747661367621355,0.0777059916573904,-74.1892618784297,0,1,0,3.50818398220987,1224.03226468477
near-field quasi-BIC,4.87250168284177,0.917064767379117,0.0778943177416216,18.7833656475917,13.7661167052675,23.2877820797554,36.2372682569335,0.982821056329259,-0.184561022550644,0.999999999904549,-10.635540139888,-1621.9543151655,1731.61023300066,2372.59558279884,133.127191685089,0,0.999999999809099,0,5785.12794947076,324790049.315637
strongest -1 routing,5.71754168284177,0.918195767379117,0.0914746945283579,-0.303721945712319,0.752222083793518,0.811224434823027,111.987197267844,0.361785466948916,-0.879417932571623,0.9509282960476,-67.6381280103229,52.3000066295751,14.5915060098281,54.2973548258886,15.5889032620595,0.0957353757759148,0.904264624223993,0,135.597761310797,3317218.58949635
