N,K,sigma_ratio,full_raw_residual,physical_groove_fraction
313,39,0.000129592979850585,0.00172748765638257,0.988880912566885
377,47,9.60211308828536e-05,0.00157305811779712,0.988881757428149
441,55,7.45467459719062e-05,0.00145794434257891,0.988882270913031
505,63,5.98725778847478e-05,0.0013691380510578,0.988882607499311
633,79,4.16226807688668e-05,0.00124391758928683,0.98888300915953
761,95,3.1084728900573e-05,0.00116145319063776,0.988883231609046
889,111,2.4387401944699e-05,0.00110172863172438,0.988883368371137
