N,K,d_outer_over_a,d_center_over_a,sigma_ratio,full_raw_residual,physical_groove_fraction,max_parameter_step
185,23,0.19338341644148,0.711932189265276,4.3143420530779e-15,6.49050825354412e-14,0.988860909687069,NaN
249,31,0.193375744651181,0.712027260256364,4.03973965125505e-15,8.23169875136142e-14,0.988869201924153,9.50709910876313e-05
313,39,0.193371318429644,0.712078279616913,3.72072188042957e-15,9.95355671691802e-14,0.988873365270049,5.10193605495202e-05
345,43,0.193368183766558,0.712094563801501,3.60024772927709e-15,1.09598538132459e-13,0.988874529470361,1.62841845878781e-05
377,47,0.193368488109969,0.712109562853851,3.55464730417444e-15,1.15550073155653e-13,0.988875802920488,1.49990523502508e-05
441,55,0.193366547341565,0.712130451396428,3.33777477330199e-15,1.31843549666708e-13,0.988877375993971,2.08885425773131e-05
505,63,0.193365149575652,0.712145254931173,3.20169388271306e-15,1.47215064486408e-13,0.988878461962477,1.48035347441455e-05
633,79,0.193363304469024,0.712164642706901,2.90957746682385e-15,1.78815485193543e-13,0.988879844720486,1.93877757284078e-05
761,95,0.193362162253794,0.712176663367952,2.69270664623392e-15,2.06603406783337e-13,0.988880676387016,1.20206610508822e-05
