kappa,local_mode_index,frequency_real_hz,frequency_imag_hz,Q,Omega
0.0400547548897347,1,107960.256705393,23842.7227567354,2.26400855738876,0.534043403169346
0.0400547548897347,2,127362.374453622,28764.7007739231,2.21386579778163,0.630019212297251
0.0400547548897347,3,147282.833166472,33334.398022234,2.20917193507192,0.728559081396817
0.0400547548897347,4,152765.620671872,1617.31336951552,47.228206837131,0.755680603590195
0.0400547548897347,5,167359.472243365,37709.9705111668,2.21903478012276,0.827871522697181
0.0400547548897347,6,178102.842995213,3.09346806463178,28786.9212279087,0.881015396682985
0.0400547548897347,7,187116.302705924,41462.2361925733,2.25646660538103,0.925601977385305
0.0400547548897347,8,194301.547586785,121.191106771037,801.632862194554,0.961144988729295
0.0400547548897347,9,196214.551827722,1048.242358497,93.5921689470073,0.970607983041132
0.0400547548897347,10,199903.512547499,2696.22792323685,37.0709595477211,0.988856042068293
0.0400547548897347,11,205099.763164937,4760.26582316011,21.5428897024054,1.01456016178922
0.0400547548897347,12,206788.461731539,42907.876140893,2.40967953124183,1.02291359069868
0.0400547548897347,13,210442.636162819,108.829108616252,966.849029816426,1.04098957355208
0.0400547548897347,14,211593.826130205,7161.64396094309,14.772713310251,1.04668412659075
0.0400547548897347,15,211924.404584931,929.274297264234,114.02682997304,1.04831938801346
0.0400547548897347,16,214753.613435534,2291.19672243962,46.86494427394,1.06231454112777
0.0400547548897347,17,218686.553970005,3596.25722979337,30.4047430420557,1.08176948697162
0.0400547548897347,18,219558.713981299,10287.8138271467,10.6708148917871,1.08608377182749
0.0400547548897347,19,222250.340601169,4156.7282358342,26.7338069741004,1.09939835150711
0.0400547548897347,20,226232.967245855,7155.75877861056,15.8077552811096,1.11909907797616
0.0400547548897347,21,227022.872163063,42044.9520412914,2.69976371884202,1.12300647429995
0.0400547548897347,22,229100.373321855,14292.5159740957,8.01469712320367,1.13328318003211
0.0400547548897347,23,233245.509534018,66683.4707260142,1.7489004920902,1.15378778716161
0.0400547548897347,24,233306.29982393,10824.6653958487,10.7766056174542,1.15408849646238
0.0400547548897347,25,239833.079761351,18695.3452889796,6.4142457936502,1.18637430121948
0.0400547548897347,26,241417.878822684,2675.54378438651,45.1156658753839,1.19421377390954
0.0400547548897347,27,242448.895726813,14816.0777997019,8.18195270720336,1.19931387086197
0.0400547548897347,28,250375.829267874,44042.5925194953,2.84242837381843,1.23852576877842
0.0400547548897347,29,251343.419968367,22926.9813386494,5.48138929098054,1.24331211744352
0.0400547548897347,30,253089.026638799,18936.5259855795,6.68256223003972,1.25194705177326
0.0400547548897347,31,263392.037834881,27033.8066399778,4.87153069751884,1.30291261382321
0.0400547548897347,32,264972.871279739,22080.6040555118,6.00012732019431,1.31073246993044
0.0420547548897347,1,107987.456013061,23836.7835343251,2.26514319470911,0.534177949077943
0.0420547548897347,2,127385.692203774,28758.6649891321,2.21473584138751,0.630134557434668
0.0420547548897347,3,147303.279078741,33328.7321426066,2.20985422500414,0.728660220509505
0.0420547548897347,4,152754.358090974,1618.31959370715,47.1953619930699,0.755624891356685
0.0420547548897347,5,167377.439302181,37704.6412133542,2.21958668635864,0.827960399748121
0.0420547548897347,6,178110.543646548,3.3620073535741,26488.7201179381,0.88105348923826
0.0420547548897347,7,187132.588903467,41456.9756515768,2.25694935487111,0.925682539775818
0.0420547548897347,8,193898.376923704,121.946933527123,795.011286120523,0.959150637849256
0.0420547548897347,9,195820.458468751,1054.79129739717,92.8242672043102,0.968658534558756
0.0420547548897347,10,199527.088138691,2713.62733786364,36.7639073638926,0.986993995992724
0.0420547548897347,11,204746.221733792,4792.29711509035,21.3620124980431,1.01281131017649
0.0420547548897347,12,206803.096931221,42902.9395577136,2.41012736030624,1.02298598615311
0.0420547548897347,13,210845.415355608,108.431330752558,972.253194220963,1.04298198795908
0.0420547548897347,14,211251.848879018,7196.99099138866,14.676400813325,1.04499247912154
0.0420547548897347,15,212312.975161229,924.598187233243,114.813644506784,1.05024151713088
0.0420547548897347,16,215103.742135145,2267.89287031671,47.4236999795115,1.06404651109519
0.0420547548897347,17,218955.400927318,3523.25349574939,31.0728991245557,1.0830993832538
0.0420547548897347,18,219229.441117845,10314.5194568411,10.6272251477717,1.08445496872961
0.0420547548897347,19,222403.70619154,4183.55868654033,26.5806843952105,1.10015699996082
0.0420547548897347,20,226528.001832557,7186.52057130554,15.760617365867,1.12055851573171
0.0420547548897347,21,227035.046667369,42041.1194935758,2.70015462721041,1.12306669751459
0.0420547548897347,22,228790.69781511,14331.0918827817,7.98231913124479,1.13175131852541
0.0420547548897347,23,233260.549333539,66678.077230823,1.74915473736629,1.15386218403657
0.0420547548897347,24,233625.143024755,10778.5453860935,10.8375079686624,1.15566570749579
0.0420547548897347,25,239525.69432552,18757.4521246651,6.38481422566331,1.18485376793024
0.0420547548897347,26,241411.638967759,2672.48013284176,45.1662177018798,1.19418290742718
0.0420547548897347,27,242791.417737761,14749.6751976645,8.23039878790703,1.20100821307612
0.0420547548897347,28,250388.110067168,44041.0169803265,2.84266948443786,1.23858651779892
0.0420547548897347,29,251042.0063332,23013.2941453354,5.45428231064617,1.24182112466156
0.0420547548897347,30,253424.517581366,18836.2799150787,6.72703205526524,1.25360661363583
0.0420547548897347,31,263126.322667394,27135.999426046,4.84828877197789,1.30159820946138
0.0420547548897347,32,265246.159370796,21941.9997347195,6.04425673543077,1.31208433502087
0.0440547548897347,1,108015.975273468,23830.5552977155,2.26633357729232,0.534319024352755
0.0440547548897347,2,127410.14264552,28752.3359601721,2.21564854455668,0.630255505619838
0.0440547548897347,3,147324.71947763,33322.7915104011,2.21056989525691,0.728766279016011
0.0440547548897347,4,152742.546871767,1619.378704998,47.1608482933447,0.755566465192341
0.0440547548897347,5,167396.280477828,37699.0531334652,2.22016558194709,0.828053600763655
0.0440547548897347,6,178118.47126299,3.63411969126168,24506.4123357411,0.881092704514257
0.0440547548897347,7,187149.668238834,41451.4592772964,2.25745572655072,0.925767025554764
0.0440547548897347,8,193495.206694078,122.703975160902,788.463480666979,0.957156289113375
0.0440547548897347,9,195426.350280648,1061.31149756932,92.068328067785,0.966709012721605
0.0440547548897347,10,199150.56325189,2730.77822025646,36.4640676006978,0.985131452886016
0.0440547548897347,11,204392.886419765,4823.46948232803,21.1873307345064,1.01106347815644
0.0440547548897347,12,206818.446510629,42897.7629369951,2.41059710752735,1.02306191540591
0.0440547548897347,13,210911.130896775,7233.00040540176,14.5797814928409,1.04330706083605
0.0440547548897347,14,211248.100262954,108.07386324877,977.332048252464,1.04497393596741
0.0440547548897347,15,212700.508549468,919.939394991294,115.605718000304,1.0521585156247
0.0440547548897347,16,215449.004520856,2244.642142474,47.9918380850217,1.06575440902984
0.0440547548897347,17,218900.137114114,10341.5303890179,10.583546577718,1.08282601159115
0.0440547548897347,18,219213.407261554,3450.81369262271,31.7625677286197,1.08437565458715
0.0440547548897347,19,222567.574949502,4215.41574004409,26.3992437134059,1.10096760408354
0.0440547548897347,20,226827.661797952,7213.67809954915,15.7220532069575,1.12204083369387
0.0440547548897347,21,227047.81920623,42037.1022455015,2.70056458554452,1.12312987900682
0.0440547548897347,22,228481.514646555,14364.2783947121,7.95311495531392,1.13022189245163
0.0440547548897347,23,233276.321387784,66672.4216426819,1.74942139223609,1.15394020313157
0.0440547548897347,24,233942.737244374,10737.7465498721,10.8934745366643,1.1572367402355
0.0440547548897347,25,239228.153567676,18814.4547280922,6.35756276291333,1.18338193298144
0.0440547548897347,26,241405.151255229,2669.37919855347,45.2174706737142,1.19415081487586
0.0440547548897347,27,243124.052746673,14688.7137510052,8.27587959258976,1.20265364758688
0.0440547548897347,28,250400.989002517,44039.366314351,2.84292225295848,1.23865022559912
0.0440547548897347,29,250758.29207922,23094.0221128606,5.42907361164206,1.24041768481854
0.0440547548897347,30,253742.885507066,18741.9874388225,6.76936974628043,1.25518147364162
0.0440547548897347,31,262876.652358114,27226.929352171,4.82751192684813,1.3003631736648
0.0440547548897347,32,265504.83645134,21815.5768688773,6.08521237020591,1.31336392431263
0.0460547548897347,1,108045.813742035,23824.0380644835,2.26757977488099,0.534466625310602
0.0460547548897347,2,127435.725313077,28745.7137950297,2.21660394697019,0.630382054548687
0.0460547548897347,3,147347.154141301,33316.5763024559,2.21131896632547,0.728877255818968
0.0460547548897347,4,152730.186900218,1620.49122844674,47.1246570851888,0.75550532453308
