case_name,frequency_real_hz,frequency_imag_hz,Q_estimate,shift_from_rigid_hz,relative_shift_percent,pressure_overlap_with_rigid
rigid_water_only,180046.32491544,0.3575603597179,251770.533312878,0,0,1
coupled_free_bottom,178177.377191552,2.55504449576175,34867.7640422913,-1868.94772388795,-1.03803714114449,0.884516018954114
coupled_fixed_bottom,176274.859690277,271.214972460114,324.972581880966,-3771.46522516289,-2.0947193601059,0.874380434532551
