kappa,frequency_real_hz,frequency_imag_hz,Q,pressure_overlap,local_mode_index,Omega,Omega_Rayleigh,delta_Omega
0.0400547548897347,178102.842995213,3.09346806463178,28786.9212279087,0.999997492577947,6,0.881015396682985,0.959945245110265,-0.0789298484272806
0.0420547548897347,178110.543646548,3.3620073535741,26488.7201179381,0.999997444321414,6,0.88105348923826,0.957945245110265,-0.0768917558720056
0.0440547548897347,178118.47126299,3.63411969126168,24506.4123357411,0.999997390390102,6,0.881092704514257,0.955945245110265,-0.0748525405960087
0.0460547548897347,178126.602836471,3.90846393804263,22787.290053094,0.999997330142281,6,0.881132928697741,0.953945245110265,-0.0728123164125243
0.0480547548897347,178134.913778078,4.18364067503721,21289.4614541071,0.999997262855145,6,0.881174040155559,0.951945245110265,-0.0707712049547058
0.0500547548897347,178143.377817127,4.45819290111206,19979.3259027319,0.999997187712632,6,0.88121590893539,0.949945245110265,-0.0687293361748754
0.0520547548897347,178151.966888772,4.73060658814152,18829.7170319929,0.999997103790724,6,0.881258396209793,0.947945245110265,-0.0666868489004721
0.0540547548897347,178160.651008459,4.99931124487924,17818.5196201724,0.999997010040172,6,0.881301353655175,0.945945245110265,-0.0646438914550903
0.0560547548897347,178169.398125182,5.26268188861799,16927.6237758664,0.999996905265645,6,0.881344622725902,0.943945245110265,-0.062600622384363
0.0580547548897347,178178.17395298,5.51903921795977,16142.1369659017,0.999996788100271,6,0.88138803382074,0.941945245110265,-0.0605572112895252
0.0600547548897347,178186.941789258,5.7666506153551,15449.777841126,0.999996656975429,6,0.881431405384196,0.939945245110265,-0.0585138397260688
0.0620547548897347,178195.662290279,6.00373209543223,14840.4075546487,0.9999965100833,6,0.881474542795912,0.937945245110265,-0.0564707023143528
0.0640547548897347,178204.293222991,6.22845019616276,14305.6689553992,0.999996345331204,6,0.881517237143061,0.935945245110265,-0.0544280079672044
0.0660547548897347,178212.789178172,6.4389228781837,13838.7112681525,0.999996160285408,6,0.881559263801358,0.933945245110265,-0.0523859813089075
0.0680547548897347,178221.101230714,6.63322241982686,13433.9759735786,0.99999595210075,6,0.881600380754598,0.931945245110265,-0.050344864355667
0.0700547548897347,178229.17655101,6.80937693252176,13087.039997726,0.999995717433425,6,0.88164032667233,0.929945245110265,-0.0483049184379355
0.0720547548897347,178236.957941134,6.96537463750094,12794.4990195877,0.999995452329815,6,0.881678818615477,0.927945245110265,-0.046266426494788
0.0740547548897347,178244.383296543,7.0991657619315,12553.8964206442,0.999995152086295,7,0.881715549373565,0.925945245110265,-0.0442296957366999
0.0760547548897347,178251.384955444,7.20866768026312,12363.6844463981,0.999994811067669,7,0.881750184246263,0.923945245110265,-0.0421950608640028
0.0780547548897347,178257.888935987,7.29176746072501,12223.2291345083,0.999994422473123,7,0.881782357270018,0.921945245110265,-0.0401628878402478
0.0800547548897347,178263.814004566,7.34632789761825,12132.8517110134,0.999993978028215,7,0.881811666609254,0.919945245110265,-0.0381335785010112
0.0820547548897347,178269.070548908,7.3701921512985,12093.9228509463,0.999993467576348,7,0.881837668981932,0.917945245110265,-0.0361075761283335
0.0840547548897347,178273.559201783,7.36118756937456,12109.0216437,0.999992878529082,7,0.881859872851488,0.915945245110265,-0.0340853722587769
0.0860547548897347,178277.169134564,7.31712829887098,12182.1814414592,0.999992195116914,7,0.881877729985645,0.913945245110265,-0.0320675151246205
0.0880547548897347,178279.775919138,7.23581390007673,12319.2621024462,0.999991397348727,7,0.881890624880001,0.911945245110265,-0.0300546202302638
0.0900547548897347,178281.238827607,7.11501545360251,12528.5208437136,0.999990459543503,7,0.881897861400563,0.909945245110265,-0.0280473837097027
0.0920547548897347,178281.397358577,6.95244234741943,12821.494120318,0.999989348212238,7,0.881898645600427,0.907945245110265,-0.0260465995098386
0.0940547548897347,178280.066702934,6.74566403513054,13214.4193495611,0.999988018929349,7,0.881892063290514,0.905945245110265,-0.0240531818197509
0.0960547548897347,178277.03171505,6.49194332515843,13730.6367897705,0.999986411578545,7,0.881877050217115,0.903945245110265,-0.0220681948931503
0.0980547548897347,178272.038721754,6.18788872539733,14404.9163319681,0.999984442883041,7,0.881852351543611,0.901945245110265,-0.020092893566654
0.100054754889735,178264.784067749,5.82875051543023,15291.8523100136,0.999981994167884,7,0.881816465188467,0.899945245110265,-0.018128779921798
0.102054754889735,178254.897593027,5.40697006932614,16483.8065781306,0.999978890265789,7,0.881767560093505,0.897945245110265,-0.0161776850167602
0.104054754889735,178241.917750624,4.90920519447265,18153.8467725193,0.999974860725977,7,0.881703353139754,0.895945245110265,-0.014241891970511
